"t","smoothMedian","smooth5","smooth95","date"
20,91.7502345232482,72.4303755383422,105.026915154626,2021-01-21
21,111.56519977598,82.6567661027815,127.207715633083,2021-01-22
22,132.598765131106,91.3196878075466,149.424198601072,2021-01-23
23,155.954811203049,98.4762042692479,171.64068156906,2021-01-24
24,173.240232447165,105.028223217497,189.348593575882,2021-01-25
25,184.640329224206,110.3194215263,202.547934621538,2021-01-26
26,190.155101534172,114.272163615082,211.238704706027,2021-01-27
27,191.676701912347,116.524921959754,215.42090382935,2021-01-28
28,188.290510880099,117.077696560317,215.094531991508,2021-01-29
29,177.483743619774,116.838899702189,210.912679654023,2021-01-30
30,160.981226480174,115.822946506687,204.38646333243,2021-01-31
31,151.227877895525,114.548043032331,200.102849943206,2021-02-01
32,147.62337041216,113.670512405117,197.996509523593,2021-02-02
33,147.898736719879,113.19158213539,198.198101999108,2021-02-03
34,144.764574543439,113.110840323863,198.548556587941,2021-02-04
35,142.843442352428,112.901499720357,199.047873290091,2021-02-05
36,143.728834499916,111.989893933845,199.042961644034,2021-02-06
37,145.605083787843,110.58470932615,197.022705134237,2021-02-07
38,145.703048511775,109.431806542373,192.922782387078,2021-02-08
39,144.623056125379,108.531185582513,187.419660042666,2021-02-09
40,144.634073938854,107.882228597639,180.511402941005,2021-02-10
41,146.781303709948,107.485347487039,174.326052081094,2021-02-11
42,146.442186969073,107.867329500891,168.863607462933,2021-02-12
43,144.536014180811,109.497497849311,164.055139011643,2021-02-13
44,142.314330234141,112.282074147065,159.903706962831,2021-02-14
45,139.23001921354,114.507220903935,156.474562479615,2021-02-15
46,135.283081119007,116.172938119921,153.163336980545,2021-02-16
47,130.473515950542,117.279225795023,149.8413057001,2021-02-17
48,127.121876264704,117.826083929242,146.600170425398,2021-02-18
49,125.495955252512,117.813512522576,143.461528504442,2021-02-19
50,125.726862155779,117.241511575026,141.08959274299,2021-02-20
51,126.77057371337,116.203859471826,139.481302905438,2021-02-21
52,126.182914437937,115.166207368626,137.509374200596,2021-02-22
53,123.96388432948,114.128555265426,135.167038532565,2021-02-23
54,122.335789575712,112.988306050221,132.794983351829,2021-02-24
55,120.395269432422,111.745459723011,130.251925380609,2021-02-25
56,117.874530708591,110.400016283795,128.121910333389,2021-02-26
57,114.642464162406,108.951975732575,125.866705497688,2021-02-27
58,111.499430026549,107.815116637875,123.494254327429,2021-02-28
59,109.915433136035,106.989438999696,121.8518496759,2021-03-01
60,109.890473490862,106.474942818038,121.090207824551,2021-03-02
61,109.066769336164,106.374225204906,120.868641322896,2021-03-03
62,108.80430010922,106.6872861603,121.400226810078,2021-03-04
63,109.103065810033,107.41412568422,122.014889129854,2021-03-05
64,111.006387066787,108.957271983433,122.681770905838,2021-03-06
65,113.597222868215,110.902946489413,123.417760565249,2021-03-07
66,116.203325439213,113.04948209666,124.48866045764,2021-03-08
67,118.840941403881,115.312358815802,125.640021514184,2021-03-09
68,121.467779665743,117.127378209734,128.059332991694,2021-03-10
69,124.742949534914,117.630264496446,131.640669050051,2021-03-11
70,128.061668516487,116.821017675937,136.448461783012,2021-03-12
71,130.380615982277,114.29710954144,142.456518548562,2021-03-13
72,131.699791932282,110.058540092955,149.640007465563,2021-03-14
73,133.40940353463,106.813480680773,156.271244280216,2021-03-15
74,135.249025809394,104.646451294265,162.453961779898,2021-03-16
75,137.30106628619,104.121650370537,167.000670707798,2021-03-17
76,139.298016246217,106.103353691599,169.885953790561,2021-03-18
77,141.832679115796,110.591561257451,172.04413764618,2021-03-19
78,144.929013032097,117.150583854539,173.526497231828,2021-03-20
79,151.363189913291,124.995069325545,173.682578799451,2021-03-21
80,156.416851780634,131.615700139504,174.987997631451,2021-03-22
81,161.50139179688,136.773117389524,177.442753727828,2021-03-23
82,166.12856169258,140.529319648218,181.046847088583,2021-03-24
83,170.259076731569,142.849268457728,185.799155461519,2021-03-25
84,173.147558774078,143.732963818054,188.419457485431,2021-03-26
85,171.290348021733,143.616094942749,188.856478203145,2021-03-27
86,166.841090089985,143.036573067889,188.708877685247,2021-03-28
87,163.138217986804,141.997211479649,187.523174425188,2021-03-29
88,158.601552343459,140.737369084921,184.576580803507,2021-03-30
89,153.814700563412,138.538061375799,180.632302379621,2021-03-31
90,148.777662646664,135.294749349876,175.896060736245,2021-04-01
91,144.24779580157,131.007433007151,172.541761635127,2021-04-02
92,143.704801689333,125.676112347626,171.264914986884,2021-04-03
93,142.218862776331,119.548228292542,171.117314468986,2021-04-04
94,140.555749243025,114.060884157045,170.283226348012,2021-04-05
95,139.128425651221,109.214079941137,170.396871448607,2021-04-06
