"t","smoothMedian","smooth5","smooth95","date"
13,155.522274647382,155.522274647382,212.5784089905,2021-01-14
14,170.956535202961,169.237688954214,241.506228705124,2021-01-15
15,191.915948047201,186.75940930096,270.434048419749,2021-01-16
16,218.400513180101,208.087435687619,299.361868134373,2021-01-17
17,250.410230601663,233.221768114193,328.289687848997,2021-01-18
18,287.945100311885,262.16240658068,357.217507563621,2021-01-19
19,330.457713917728,294.909351087082,386.145327278245,2021-01-20
20,373.797281805043,331.462601633397,415.185927344595,2021-01-21
21,412.43865168517,366.121364865953,444.339307762671,2021-01-22
22,448.885304618731,397.283888579344,473.605468532473,2021-01-23
23,483.137240605724,424.950172773571,502.984409654002,2021-01-24
24,515.194459646151,449.120217448633,532.476131127256,2021-01-25
25,545.056961740011,469.79402260453,562.326699174184,2021-01-26
26,573.272155280344,486.971588241263,592.228531017351,2021-01-27
27,603.990829881299,500.652914358831,622.068846305031,2021-01-28
28,637.212985542875,512.732488270993,651.847645037224,2021-01-29
29,670.435141204451,524.812062183156,681.56492721393,2021-01-30
30,690.682126888991,536.891636095318,713.044595142616,2021-01-31
31,697.953942596492,548.97121000748,746.286648823281,2021-02-01
32,699.080756971481,561.050783919643,781.045022033977,2021-02-02
33,704.789399653186,574.055610941255,817.62729755214,2021-02-03
34,721.91003928613,587.985691072318,856.033475377769,2021-02-04
35,750.442675870314,602.841024312831,896.263555510864,2021-02-05
36,770.126640411037,618.621610662794,938.317537951426,2021-02-06
37,793.937102885335,635.327450122208,980.371520391987,2021-02-07
38,821.874063293208,652.958542691071,1022.42550283255,2021-02-08
39,847.107352990132,671.514888369385,1064.47948527311,2021-02-09
40,858.910142336879,690.071234047699,1106.53346771367,2021-02-10
41,850.452262688924,708.627579726013,1148.58745015423,2021-02-11
42,864.621600618159,729.151899331147,1190.64143259479,2021-02-12
43,884.990028070739,751.644192863101,1232.69541503536,2021-02-13
44,912.321990471792,776.058060804981,1267.57106831874,2021-02-14
45,946.617487821317,802.42443616805,1295.26839244496,2021-02-15
46,987.876520119315,830.047326198905,1315.787387414,2021-02-16
47,1036.09908736579,859.483525100269,1329.12805322587,2021-02-17
48,1087.02947092807,890.733032872142,1335.29038988057,2021-02-18
49,1097.0785411904,921.827875587702,1334.27439737809,2021-02-19
50,1101.32338549029,952.768053246952,1326.08007571844,2021-02-20
51,1102.22297782468,983.599965366783,1317.88575405879,2021-02-21
52,1105.0352305253,1009.95746922895,1309.69143239914,2021-02-22
