"t","smoothMedian","smooth5","smooth95","date"
20,114.009505696845,101.696379914648,132.221184414234,2021-01-21
21,138.738256939791,116.811575664624,159.946189799475,2021-01-22
22,165.611664047188,130.894589726807,187.743031717305,2021-01-23
23,195.168152991394,143.797182607472,215.611710167724,2021-01-24
24,219.873918909655,155.289586222031,240.019231151648,2021-01-25
25,241.948880862739,165.371800570483,260.965594669076,2021-01-26
26,264.46125210668,171.5815947471,278.738146850366,2021-01-27
27,278.288725315772,177.576165535369,294.288374117914,2021-01-28
28,282.178611268079,183.355512935291,307.61627647172,2021-01-29
29,277.711218612512,187.970975374897,318.721853911784,2021-01-30
30,263.833008249797,191.67539110764,327.605106438106,2021-01-31
31,261.355305061294,195.557966497179,337.799028049771,2021-02-01
32,268.058189986236,199.618701543516,349.303618746778,2021-02-02
33,280.873449768586,202.564366679986,362.118878529128,2021-02-03
34,285.143405766759,204.625968922229,371.383316810257,2021-02-04
35,290.712802236335,204.287811192003,377.096933590164,2021-02-05
36,297.630267179662,202.675550524245,379.25972886885,2021-02-06
37,302.581800509982,197.537872849079,377.871702646315,2021-02-07
38,301.869325821462,193.147731210014,372.932854922558,2021-02-08
39,295.492843114103,189.505125607052,364.44318569758,2021-02-09
40,283.452352387903,187.903285606855,352.40269497138,2021-02-10
41,280.13637719102,188.111204193784,341.43501128582,2021-02-11
42,275.700173267872,191.644578446082,331.540134640898,2021-02-12
43,268.5148039672,197.37775132881,322.718065036616,2021-02-13
44,273.538561256767,206.002982657507,314.968802472973,2021-02-14
45,274.243709225736,212.964176091944,308.292346949969,2021-02-15
46,270.630247874106,219.155809094654,302.688698467604,2021-02-16
47,262.698177201878,224.721408610397,299.102677328919,2021-02-17
48,259.176322903452,228.403451669682,297.047890785571,2021-02-18
49,260.064684978826,230.149809385002,296.524338837562,2021-02-19
50,265.363263428001,229.511471277098,297.532021484889,2021-02-20
51,264.481305469246,228.047491600309,300.070938727555,2021-02-21
52,263.870354850021,228.377655150448,302.103954176543,2021-02-22
53,263.530411570325,229.60748446498,303.631067831855,2021-02-23
54,267.952852662462,231.593452599147,303.707459390449,2021-02-24
55,270.622162268697,234.645455492392,303.217189357976,2021-02-25
56,271.538340389031,238.496933295141,302.160257734436,2021-02-26
57,270.701387023462,243.596896486652,300.43909691518,2021-02-27
58,274.726651250779,250.109906159536,297.646089406235,2021-02-28
59,278.612465734999,255.521161157904,296.223409316637,2021-03-01
60,282.358830476123,259.830661481753,296.394441486263,2021-03-02
61,281.474368441846,263.038407131085,298.151880977954,2021-03-03
62,281.706839599768,266.092025135947,300.025252993763,2021-03-04
63,283.056243949889,269.31020423342,302.002354110099,2021-03-05
64,288.576325284125,272.300405097371,304.199057066998,2021-03-06
65,291.651734523688,274.89806663519,307.022979358431,2021-03-07
66,293.986066849742,277.103188846876,309.173385813759,2021-03-08
67,296.603457784375,278.801632665462,310.426891593105,2021-03-09
68,299.019873951966,280.165726121807,313.356580862047,2021-03-10
69,299.130975537489,278.0209470592,318.3740734768,2021-03-11
70,300.409441115556,272.120479026326,325.491572860956,2021-03-12
71,299.801526894253,262.856861349318,334.690773879126,2021-03-13
72,296.598714089491,250.230094028175,345.971676531312,2021-03-14
73,294.793322053114,239.52065321475,356.704286315332,2021-03-15
74,293.361215263034,230.842677976012,366.888603231185,2021-03-16
75,292.786427094872,224.023840281099,373.958848050453,2021-03-17
76,295.173297363655,222.238662286724,377.506582916666,2021-03-18
77,297.262859175572,225.733960444201,380.628552790646,2021-03-19
78,298.627689169017,234.509734753532,383.742195595279,2021-03-20
79,306.07888163403,247.138756059437,386.847511330563,2021-03-21
80,315.450353826463,258.340548210065,393.4701919493,2021-03-22
81,330.613717600233,268.115111205416,403.610237451489,2021-03-23
82,351.568972955339,276.46244504549,417.26764783713,2021-03-24
83,378.316119891781,283.382549730286,434.439241106478,2021-03-25
84,391.621485061268,288.875425259804,445.888553019679,2021-03-26
85,391.912491825406,292.941071634045,451.19814565385,2021-03-27
86,391.842324164591,294.662680256284,450.368019008991,2021-03-28
87,393.034839841643,294.040251126519,443.3981730851,2021-03-29
88,386.282566235761,291.073784244751,433.549051413497,2021-03-30
89,371.301477928292,285.763279610981,420.82065399418,2021-03-31
90,348.669375245589,278.108737225207,405.21298082715,2021-04-01
91,337.115694777122,268.110157087431,392.865751191438,2021-04-02
92,336.640436522892,255.767539197652,383.778965087044,2021-04-03
93,328.487840996549,243.424921307872,377.952622513966,2021-04-04
94,315.937963882559,233.03062406307,372.488376309922,2021-04-05
95,304.326665947808,224.584647463245,364.125782943593,2021-04-06
96,293.937972610946,218.086991508397,354.588749502607,2021-04-07
97,284.194083545623,213.537656198527,346.629382160691,2021-04-08
98,273.062112185229,210.289754519305,340.202968959816,2021-04-09
99,260.542058529764,206.928757223208,334.121794224384,2021-04-10
100,266.262864572117,208.696146005348,328.138467570297,2021-04-11
101,273.119139041099,213.449219189518,327.070252184239,2021-04-12
102,282.018305778702,220.437459354467,330.917148066209,2021-04-13
103,294.084886067157,228.420469607318,337.95524812858,2021-04-14
104,308.283655376877,237.314917539574,345.432446197623,2021-04-15
105,327.439667212954,245.923380808434,353.39345423137,2021-04-16
106,353.655311443218,254.700587842294,363.025987905417,2021-04-17
107,361.553846144454,258.40505694604,374.179129453638,2021-04-18
108,368.587693673458,257.231169150906,384.933962851637,2021-04-19
109,373.208249970655,251.929441878139,395.290488099412,2021-04-20
110,374.290993753817,243.740272020618,400.021851938155,2021-04-21
111,372.742913509013,232.746991986841,399.128054367867,2021-04-22
112,368.318839462809,220.793911133936,392.609095388547,2021-04-23
113,347.330554271022,208.84083028103,380.894369968912,2021-04-24
114,315.525857863975,196.887749428125,364.382186259187,2021-04-25
115,296.66480955046,185.369444252751,343.072544259371,2021-04-26
116,274.212522970453,174.285914754907,317.684333711548,2021-04-27
117,248.168998123952,163.637160934594,296.222667447036,2021-04-28
118,218.662471054475,153.423182791812,278.687545465833,2021-04-29
119,189.359417908361,143.64398032656,265.07896776794,2021-04-30
120,171.164473790432,134.29955353884,254.532208095177,2021-05-01
121,164.892677950986,128.027757699394,247.395531479113,2021-05-02
122,148.949833785053,125.010934558582,243.668937919749,2021-05-03
123,140.348699101677,125.249084116405,242.633537675001,2021-05-04
124,138.802411634736,128.742206372862,241.296884806234,2021-05-05
125,144.31097138423,135.361689891853,238.771274420514,2021-05-06
126,152.951430116787,144.787166711002,235.489790686666,2021-05-07
127,165.404980203941,157.35209806187,234.114945018399,2021-05-08
128,183.270746337376,169.19236061541,234.298472384144,2021-05-09
129,197.252768444833,177.54119940395,234.604337254312,2021-05-10
130,210.151061178452,182.398614427489,235.327123268439,2021-05-11
131,219.017885413264,186.137894351718,237.999369734436,2021-05-12
132,224.991793038824,186.723431958455,243.50878154524,2021-05-13
133,228.391949925793,183.405738972971,251.422274532025,2021-05-14
134,229.159439591017,175.851354163702,259.512668570543,2021-05-15
135,224.997931058821,165.286545588953,267.779963660794,2021-05-16
136,214.726821848913,156.489462664413,274.139473691712,2021-05-17
137,202.967538159489,149.460105390081,278.296615023761,2021-05-18
138,192.954681381637,141.82518510027,278.933034715156,2021-05-19
139,183.549699625803,135.748920449258,276.048732765895,2021-05-20
140,174.433427021326,132.301167674154,269.643709175978,2021-05-21
141,164.774412718027,131.481926774959,259.717963945406,2021-05-22
142,154.154880072292,133.291197751671,246.271497074179,2021-05-23
143,151.455983335961,134.400859109872,232.825030202952,2021-05-24
144,149.419590427264,134.810910849562,219.378563331724,2021-05-25
145,148.0457013462,134.521352970741,205.932096460497,2021-05-26
146,147.33431609277,133.532185473408,192.48562958927,2021-05-27
147,146.05359387278,131.843408357565,180.207789273088,2021-05-28
148,142.418811043812,129.530334315711,168.836902967401,2021-05-29
149,140.054048549541,125.534133796527,158.37297067221,2021-05-30
150,136.87191933131,120.244386595468,148.815992387514,2021-05-31
151,131.050919276208,113.661092712534,140.21718065889,2021-06-01
152,122.724935257968,105.784252147723,132.923814525275,2021-06-02
153,111.413747349097,96.6138649010377,126.762254467201,2021-06-03
154,98.7531815248147,86.1499309724765,120.563873929622,2021-06-04
155,87.9811410325124,74.3171376695386,114.590345457088,2021-06-05
156,75.8361785199983,63.7409232677636,108.8416690496,2021-06-06
157,65.189664543641,54.9619816815222,103.317844707157,2021-06-07
158,57.9257931305255,47.9803129108142,97.9676598841818,2021-06-08
159,52.4597631077586,42.7959169556398,92.4438355417388,2021-06-09
160,49.2717944028322,39.4087938159988,86.9571413264327,2021-06-10
161,48.0644770759272,37.8189434918914,81.559458551817,2021-06-11
162,48.7048147560922,38.0263659833174,76.4521392035013,2021-06-12
163,51.0799761147103,38.4644525660573,72.1155739902312,2021-06-13
164,51.690507718156,38.9025391487972,68.8038225258151,2021-06-14
165,50.4737196522561,38.9726819342642,66.5168848102528,2021-06-15
166,48.8805262161711,38.6586237660269,65.2547608435445,2021-06-16
167,47.931832643211,37.9603646440853,64.9803204985532,2021-06-17
168,47.5210636921693,36.8779045684394,65.7734624518667,2021-06-18
169,47.2184034623562,35.4112435390892,67.5648625515971,2021-06-19
170,47.0739933682155,33.5603815560348,69.7362227572568,2021-06-20
171,50.7508248150535,32.8050798920661,71.9446444971476,2021-06-21
172,54.7484774182842,33.5132823444562,74.3712923582296,2021-06-22
173,59.0669511779076,35.7012460696364,77.0161663405027,2021-06-23
174,62.6853408606138,39.3689710676066,79.9190634424907,2021-06-24
175,65.6036464664029,44.5164573383669,83.1078556218218,2021-06-25
176,70.6315309829422,50.0951563140532,86.4505150447745,2021-06-26
177,77.130850572828,56.8771516087975,90.0849490430907,2021-06-27
178,80.5482048715516,62.9966401427438,93.8397158188596,2021-06-28
179,84.626161007665,68.453621915892,98.027989612415,2021-06-29
180,89.562717527887,73.039229277029,102.526469853195,2021-06-30
181,95.3578744322176,75.9642416480625,107.212780313952,2021-07-01
182,102.011631720657,77.2286590289925,111.927269046916,2021-07-02
183,106.714326405537,77.8810299876831,116.669936052089,2021-07-03
184,110.104102324262,77.1492709100023,121.440781329469,2021-07-04
185,111.618120673446,75.419423603016,126.500085634858,2021-07-05
186,112.88111375247,72.6914880667243,131.944275754225,2021-07-06
187,113.695083014614,69.1743319523403,138.610876049531,2021-07-07
188,114.06002845988,65.6571758379563,146.582465749498,2021-07-08
189,109.250319180815,62.1400197235724,155.169758182784,2021-07-09
190,99.2659551774201,58.6228636091884,164.181445185297,2021-07-10
191,106.056013650859,59.3765157881265,173.617526757036,2021-07-11
192,116.00377129673,64.4009762603866,183.584360204235,2021-07-12
193,128.027408751313,73.6962450259687,194.830856800303,2021-07-13
194,142.922857675824,87.2623220848729,207.406990653342,2021-07-14
195,160.163233900676,105.099207437099,221.312761763352,2021-07-15
196,183.131376770742,127.206901082647,234.613467715251,2021-07-16
197,212.042233495706,152.139019980304,247.500416673132,2021-07-17
198,224.839253269563,175.640996086883,259.973608636996,2021-07-18
199,237.996598644836,196.064627403742,274.246901128764,2021-07-19
200,250.729209941898,213.556992862684,290.445499913839,2021-07-20
201,262.473242522918,227.823934600101,307.805207092721,2021-07-21
202,273.291406510714,239.012531547798,326.32602266541,2021-07-22
203,287.023014094943,247.122783705774,348.631935718329,2021-07-23
204,302.686095116302,253.601074115243,374.722946251479,2021-07-24
205,320.771634654443,258.431162526068,404.59905426486,2021-07-25
206,339.97991198159,260.09418946422,428.014011907283,2021-07-26
207,363.744853151547,258.443075997894,443.502936526672,2021-07-27
208,367.020992090525,253.771979990698,453.76016251535,2021-07-28
209,375.228567199988,253.380617131063,462.978952710424,2021-07-29
210,382.856773070733,257.26898741899,474.733181267704,2021-07-30
211,386.75062576041,265.437090854478,489.022848187193,2021-07-31
212,387.500349608065,277.884927437527,505.847953468888,2021-08-01
213,424.569877781707,294.315694740554,533.134530135825,2021-08-02
214,435.737053226608,314.729392763559,559.273027985006,2021-08-03
215,454.057725581897,339.126021506541,581.569112624109,2021-08-04
216,476.917445577444,363.936958614689,595.829521216029,2021-08-05
217,494.624083329291,389.162204088002,603.328641019114,2021-08-06
218,514.939795120426,413.823068693612,604.801000476151,2021-08-07
219,535.254874122701,422.804042627564,608.275923349205,2021-08-08
220,540.732360411771,418.59030055725,613.753409638275,2021-08-09
221,535.346254649118,401.181842482668,622.19729014911,2021-08-10
222,540.506594672167,391.034128125798,633.60756488171,2021-08-11
223,534.286890011686,384.268985221219,647.984233836074,2021-08-12
224,539.189641173801,380.886413768929,660.479035598041,2021-08-13
225,535.624205527755,381.865103001797,670.357441724825,2021-08-14
226,550.224094521717,391.282982362513,672.755733656795,2021-08-15
227,545.932777570198,410.118741083945,673.901795973695,2021-08-16
228,581.419061679843,438.372379166092,684.441348072771,2021-08-17
229,596.762193093095,455.57268928306,693.836957582129,2021-08-18
230,595.504206262329,460.922757216363,709.426774521831,2021-08-19
231,598.159948925173,455.64944950156,731.767303863386,2021-08-20
232,614.91195681437,439.75276613865,760.858545606795,2021-08-21
233,600.750781955986,431.476165758433,782.709262406766,2021-08-22
234,610.56047789113,430.534730976696,791.091569683559,2021-08-23
235,572.419756501029,432.723039667733,783.400379625455,2021-08-24
236,565.504037781093,437.423273577251,770.173124604349,2021-08-25
237,580.487011869542,445.432346923735,746.993661150727,2021-08-26
238,567.184035973912,455.143563275109,713.271494188698,2021-08-27
239,546.552230731768,457.512670800517,673.633540872649,2021-08-28
240,538.603503683173,445.333791230427,639.07925558886,2021-08-29
241,472.698207515057,418.891841949051,610.702568600582,2021-08-30
242,456.756136503309,395.04223863292,591.610339432066,2021-08-31
243,438.91681896573,374.418547140243,581.802568083311,2021-09-01
244,422.135175719815,357.020767471021,578.361924920988,2021-09-02
245,424.158202379332,343.228729521771,581.313046215042,2021-09-03
246,435.857870724863,351.764223534296,588.575753861844,2021-09-04
247,455.057652382367,382.627249508595,600.542394900751,2021-09-05
248,507.63311433865,421.030335301666,615.036061572691,2021-09-06
249,555.305984773521,450.406543107138,631.983035846602,2021-09-07
250,575.586686611816,470.232888228376,651.869845594318,2021-09-08
251,586.797185342637,480.509370665381,674.691813898625,2021-09-09
252,607.406776738748,489.941745071224,700.458294593954,2021-09-10
253,615.099377164149,488.852473034956,715.722875666271,2021-09-11
254,596.339246386147,473.981267312482,719.919387832793,2021-09-12
255,582.303505143188,458.403696145086,714.13080858934,2021-09-13
256,549.803275505267,442.438873442734,697.929084254443,2021-09-14
257,546.030583029662,433.788596275118,673.041235392954,2021-09-15
258,540.488201535875,432.452864642238,642.940064008279,2021-09-16
259,516.83354885217,429.725923891024,609.122742730111,2021-09-17
260,491.121573703393,425.282247353696,582.274528087941,2021-09-18
261,498.020035688812,416.691338682748,562.177612463299,2021-09-19
262,490.266166139265,405.339575112119,549.21003768198,2021-09-20
263,492.971039016093,394.82478698739,544.671867085448,2021-09-21
264,482.636999337649,377.968161935501,546.349552237014,2021-09-22
265,477.767357639928,372.802107909918,544.134594289755,2021-09-23
266,478.362113922931,371.402234264185,538.08803998766,2021-09-24
267,479.985791382465,369.254434119442,529.512322157833,2021-09-25
268,463.548090077164,372.049491067293,521.92603012068,2021-09-26
269,456.461879876318,377.787847292156,515.317314089237,2021-09-27
270,449.723751712339,386.469502794033,508.38611072204,2021-09-28
271,444.780636854948,397.739194524833,496.622818858376,2021-09-29
272,436.483535000402,393.193880633617,486.663135341761,2021-09-30
273,422.543795236083,380.787909311021,476.948840798515,2021-10-01
274,408.844655681479,365.315977787411,466.39191883532,2021-10-02
275,393.565614787206,346.778086062785,452.737813438182,2021-10-03
276,377.169159782559,330.52497723723,434.783352017917,2021-10-04
277,361.365596888284,315.900133459122,412.528534574527,2021-10-05
278,346.725120842906,301.957651287186,393.090307314056,2021-10-06
279,331.015990910579,289.068164618897,377.621201691089,2021-10-07
280,319.741414054068,277.201715910073,366.48039093167,2021-10-08
281,312.265677153038,266.403241476989,360.196496061007,2021-10-09
282,310.544090705701,256.672741319645,357.285308884185,2021-10-10
283,305.854714011045,249.031229073615,356.822336125682,2021-10-11
284,301.750437751736,244.135222590526,359.470667612058,2021-10-12
285,298.359869042247,243.285888359739,362.839506010783,2021-10-13
286,299.085085230302,246.483226381256,364.392609854887,2021-10-14
287,299.211792498252,253.727236655076,367.063141005932,2021-10-15
288,302.889298931301,264.108305388869,372.67051370915,2021-10-16
289,307.636926389368,277.449602150317,381.652710471514,2021-10-17
290,319.534472654742,290.057555707064,395.771205118899,2021-10-18
291,338.825142856134,300.714633253447,414.193654176039,2021-10-19
292,364.820936761403,308.692553573808,435.673314891639,2021-10-20
293,395.883531211212,313.991316668149,463.477697133234,2021-10-21
294,437.791309820881,316.610922536468,494.314465813218,2021-10-22
295,455.796487153813,317.460984971096,517.628829046857,2021-10-23
296,459.029546962195,316.718334404351,534.584107540062,2021-10-24
297,463.458168970325,317.010112646067,544.598640939877,2021-10-25
298,460.888939338242,319.553852501905,547.841682895007,2021-10-26
299,451.612628693102,325.077835187525,545.343428443948,2021-10-27
300,437.332404018081,331.484847388589,542.885233800073,2021-10-28
301,413.769619465359,338.685347687823,541.171332496674,2021-10-29
302,410.710704191369,346.679336085228,548.408481148052,2021-10-30
303,421.505852584006,355.466812580803,563.433359048292,2021-10-31
304,422.113879653842,362.067534344767,586.827626550352,2021-11-01
305,444.93372170248,369.291365558393,618.591283654232,2021-11-02
306,496.695443566135,377.13830622168,658.724330359931,2021-11-03
307,532.318108092771,387.705569648965,695.737356613418,2021-11-04
308,577.638266193954,401.082697257522,728.9261288814,2021-11-05
309,634.313888538084,417.269689047351,758.290647163876,2021-11-06
310,644.653267000017,435.889675357733,793.227878227153,2021-11-07
