"t","date","phi","variance","sampleSize","binning","daysPerBin","haplotypes","numMut"
17,"2021-01-18",49.1180047911011,0.0384615384615385,26,"eq_days_15",15,24,26
18,"2021-01-19",72.9638374165248,0.04,25,"cal_week",5,24,25
22,"2021-01-23",144.50241613858,0.0136986301369863,73,"eq_days_20",20,69,73
22,"2021-01-23",162.040065245697,0.0140845070422535,71,"eq_days_10",10,67,71
26,"2021-01-27",299.936110844874,0.0087719298245614,114,"cal_week",6,108,114
29,"2021-01-30",310.857839399728,0.00416666666666667,240,"eq_days_15",15,208,240
31,"2021-02-01",249.448465157874,0.00518134715025907,193,"eq_days_10",10,165,193
33,"2021-02-03",202.788638305868,0.00675675675675676,148,"cal_week",7,126,148
36,"2021-02-06",400.564657876178,0.00253164556962025,395,"eq_days_20",20,333,395
37,"2021-02-07",310.042844266012,0.0048780487804878,205,"eq_size_names_205",11,180,205
40,"2021-02-10",166.824894579701,0.008,125,"cal_week",7,106,125
40,"2021-02-10",308.073848656516,0.00495049504950495,202,"eq_days_10",10,177,202
43,"2021-02-13",316.281222792782,0.00308641975308642,324,"eq_days_15",15,269,324
46,"2021-02-16",227.930608077918,0.00561797752808989,178,"cal_week",7,150,178
47,"2021-02-17",272.615672645077,0.0048780487804878,205,"eq_size_names_205",10,176,205
50,"2021-02-20",260.756728087188,0.00423728813559322,236,"eq_days_10",10,197,236
54,"2021-02-24",216.953656143057,0.00671140939597315,149,"cal_week",7,128,149
54,"2021-02-24",315.930277724534,0.00235294117647059,425,"eq_days_20",20,340,425
56,"2021-02-26",262.330106648611,0.0048780487804878,205,"eq_size_names_205",10,175,205
57,"2021-02-27",291.713815732148,0.0033003300330033,303,"eq_days_15",15,251,303
60,"2021-03-02",259.161983663166,0.00529100529100529,189,"eq_days_10",10,163,189
61,"2021-03-03",294.618816525012,0.00666666666666667,150,"cal_week",7,135,150
66,"2021-03-08",279.458424803674,0.0048780487804878,205,"eq_size_names_205",9,176,205
68,"2021-03-10",316.146681201957,0.00442477876106195,226,"cal_week",7,193,226
70,"2021-03-12",306.876396378912,0.00332225913621262,301,"eq_days_10",10,248,301
71,"2021-03-13",302.437494665347,0.00256410256410256,390,"eq_days_15",15,311,390
