"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
31,633.181648236726,532.609995335185,725.179176698292,"2021-02-01",17890100,0.7,0.999,0.078,109200,3.53928512549805e-05,0.00608534358789836,0.110157367668097,18.9401364182121
32,650.414635437163,550.28607494959,750.824002262153,"2021-02-02",17890100,0.7,0.999,0.0768571428571429,107943,3.63561207280654e-05,0.00601550637900505,0.108522378908645,17.9561804041929
33,670.691700079735,566.557989908461,777.431431499456,"2021-02-03",17890100,0.7,0.999,0.0757142857142857,106686,3.74895445011339e-05,0.00594566426301457,0.106887390149193,16.9518340175547
34,697.503265716142,582.987277050455,805.001464410199,"2021-02-04",17890100,0.7,0.999,0.0745714285714286,105429,3.89882262098111e-05,0.00587581723958219,0.10525240138974,15.8623239555749
35,737.341982637699,599.841975899713,833.534100994383,"2021-02-05",17890100,0.7,0.999,0.0734285714285714,104171,4.12150844678173e-05,0.00580590973605832,0.103617412630288,14.5964360520749
36,761.488269177243,617.122086456236,853.343461236978,"2021-02-06",17890100,0.7,0.999,0.0722857142857143,102914,4.25647855057961e-05,0.00573605289280288,0.101982423870836,13.7432051050674
37,789.766252254261,634.792807774321,868.329637081087,"2021-02-07",17890100,0.7,0.999,0.0711428571428571,101657,4.41454353108289e-05,0.0056661911410707,0.100347435111384,12.8798763417746
38,811.092808376748,651.832789315414,878.492628526711,"2021-02-08",17890100,0.7,0.999,0.07,100400,4.53375223378711e-05,0.00559632448051695,0.0987124463519313,12.1847611330445
39,828.16992439889,668.101974066645,886.478180942513,"2021-02-09",17890100,0.7,0.999,0.0691428571428571,100800,4.62920791051414e-05,0.0056185578405783,0.0974862047823421,11.8320864134015
40,832.468525195334,682.99913833944,892.694530785544,"2021-02-10",17890100,0.7,0.999,0.0682857142857143,101200,4.653235729232e-05,0.0056407907035354,0.0962599632127529,11.6689189460594
41,824.010645547379,690.609791161811,897.141678055805,"2021-02-11",17890100,0.7,0.999,0.0674285714285714,101600,4.60595885739811e-05,0.00566302306939936,0.0950337216431637,11.684389172771
42,796.169866817829,690.933932533757,899.585616183046,"2021-02-12",17890100,0.7,0.999,0.0665714285714286,102000,4.4503377109006e-05,0.00568525493818128,0.0938074800735745,11.9837970502851
43,777.196270273615,683.97156245528,909.985232847589,"2021-02-13",17890100,0.7,0.999,0.0657142857142857,102400,4.34428130795029e-05,0.00570748630989237,0.0925812385039853,12.1632581745423
44,767.089855914738,669.757481872078,928.340528049434,"2021-02-14",17890100,0.7,0.999,0.0648571428571429,102800,4.28778964854717e-05,0.00572971718454363,0.0913549969343962,12.2076486659343
45,759.240219455811,663.387365977449,954.552759043914,"2021-02-15",17890100,0.7,0.999,0.064,103200,4.24391266374034e-05,0.00575194756214614,0.0901287553648069,12.215517042308
46,768.480793999625,665.001271784262,981.984891723657,"2021-02-16",17890100,0.7,0.999,0.0647142857142857,103229,4.29556455245988e-05,0.00575355924519827,0.0911506233394645,12.2088844252157
47,798.566273052675,671.864476919797,1009.48893974666,"2021-02-17",17890100,0.7,0.999,0.0654285714285714,103257,4.4637328637217e-05,0.00575511535049378,0.0921724913141222,11.8838500387516
48,849.49665661496,686.539216311305,1037.06490311293,"2021-02-18",17890100,0.7,0.999,0.0661428571428571,103286,4.74841759752578e-05,0.00575672702841101,0.0931943592887798,11.2983846933074
49,875.062627526097,712.853938611513,1058.03351832174,"2021-02-19",17890100,0.7,0.999,0.0668571428571429,103314,4.89132328788602e-05,0.0057582831287486,0.0942162272634376,11.0915529392429
50,923.056432013038,746.96504770675,1072.1217777078,"2021-02-20",17890100,0.7,0.999,0.0675714285714286,103343,5.15959347355821e-05,0.00575989480153072,0.0952380952380953,10.6318726946386
51,950.731331688391,777.505825698399,1081.74724583765,"2021-02-21",17890100,0.7,0.999,0.0682857142857143,103371,5.31428740861365e-05,0.00576145089691038,0.0962599632127529,10.4359626935073
52,976.641185141111,797.541784011,1081.97930323008,"2021-02-22",17890100,0.7,0.999,0.069,103400,5.45911529360435e-05,0.00576306256455761,0.0972818311874106,10.2698193640387
53,982.507177826833,807.072922644554,1072.68629289219,"2021-02-23",17890100,0.7,0.999,0.068,104086,5.49190433718555e-05,0.00580118607879354,0.0958512160228899,10.1249167117208
54,962.750958475636,809.009775953088,1055.49310762413,"2021-02-24",17890100,0.7,0.999,0.067,104771,5.38147332030361e-05,0.00583925256076157,0.0944206008583691,10.2452563180184
55,913.24444547717,806.704599981341,1035.8087994923,"2021-02-25",17890100,0.7,0.999,0.066,105457,5.10474757255225e-05,0.00587737315353054,0.0929899856938484,10.7064421442285
56,896.829661327032,798.935772710148,1018.51979297839,"2021-02-26",17890100,0.7,0.999,0.065,106143,5.01299412148077e-05,0.00591549228458454,0.0915593705293276,10.8042965306264
57,858.580529545018,789.546890253179,1002.93092810222,"2021-02-27",17890100,0.7,0.999,0.064,106829,4.79919357379231e-05,0.00595360995397975,0.0901287553648069,11.1808670942128
58,840.234010458018,789.904670509051,987.179149261765,"2021-02-28",17890100,0.7,0.999,0.063,107514,4.69664233547056e-05,0.00599167059985073,0.0886981402002861,11.3155314145557
59,826.77252097062,793.319985498173,974.714973449847,"2021-03-01",17890100,0.7,0.999,0.062,108200,4.62139686737704e-05,0.00602978534822685,0.0872675250357654,11.3862639140822
60,820.835294947066,799.792835220545,968.269360338084,"2021-03-02",17890100,0.7,0.999,0.0634285714285714,108443,4.58820965196989e-05,0.00604328628610107,0.0893112609850807,11.7634885858758
61,825.035385167755,809.323219676168,970.834196235269,"2021-03-03",17890100,0.7,0.999,0.0648571428571428,108686,4.61168682773017e-05,0.0060567870405942,0.091354996934396,11.9981642768685
62,840.562088799831,821.91113886504,977.023287139305,"2021-03-04",17890100,0.7,0.999,0.0662857142857143,108929,4.69847618962348e-05,0.00607028761170869,0.0933987328837114,12.066830782827
63,859.45971963553,836.04667464758,984.809266481882,"2021-03-05",17890100,0.7,0.999,0.0677142857142857,109171,4.80410796829269e-05,0.0060837324426718,0.0954424688330268,12.0864570047232
64,883.873979080329,850.851086082192,999.974423297857,"2021-03-06",17890100,0.7,0.999,0.0691428571428571,109414,4.9405759558657e-05,0.00609723264779127,0.0974862047823421,12.0309064331349
