"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
31,261.355305061294,195.557966497179,337.799028049771,"2021-02-01",3571000,0.7,0.999,0.048,24900,7.31882680093234e-05,0.0069485838904727,0.067238912732475,6.38374480683512
32,268.058189986236,199.618701543516,349.303618746778,"2021-02-02",3571000,0.7,0.999,0.0468571428571429,24886,7.506530103227e-05,0.00694469065355663,0.0656039239730228,6.06936828850167
33,280.873449768586,202.564366679986,362.118878529128,"2021-02-03",3571000,0.7,0.999,0.0457142857142857,24871,7.8654004415734e-05,0.00694051931135176,0.0639689352135704,5.64469200868279
34,285.143405766759,204.625968922229,371.383316810257,"2021-02-04",3571000,0.7,0.999,0.0445714285714286,24857,7.98497355829625e-05,0.00693662604281864,0.0623339464541182,5.41501199933287
35,290.712802236335,204.287811192003,377.096933590164,"2021-02-05",3571000,0.7,0.999,0.0434285714285714,24843,8.14093537486236e-05,0.00693273275902218,0.0606989576946658,5.16905776881229
36,297.630267179662,202.675550524245,379.25972886885,"2021-02-06",3571000,0.7,0.999,0.0422857142857143,24829,8.33464763874719e-05,0.00692883945996203,0.0590639689352136,4.91016268903474
37,302.581800509982,197.537872849079,377.871702646315,"2021-02-07",3571000,0.7,0.999,0.0411428571428571,24814,8.47330721114483e-05,0.00692466805117398,0.0574289801757612,4.69328698139893
38,301.869325821462,193.147731210014,372.932854922558,"2021-02-08",3571000,0.7,0.999,0.04,24800,8.45335552566402e-05,0.00692077472049635,0.055793991416309,4.5678623616064
39,295.492843114103,189.505125607052,364.44318569758,"2021-02-09",3571000,0.7,0.999,0.0394285714285714,25071,8.27479258230476e-05,0.00699613576676605,0.0549764970365828,4.64812904279489
40,283.452352387903,187.903285606855,352.40269497138,"2021-02-10",3571000,0.7,0.999,0.0388571428571429,25343,7.93761838106701e-05,0.00707176914751839,0.0541590026568568,4.82512443483888
41,280.13637719102,188.111204193784,341.43501128582,"2021-02-11",3571000,0.7,0.999,0.0382857142857143,25614,7.84475993254047e-05,0.00714711873538909,0.0533415082771306,4.85978024133023
42,275.700173267872,191.644578446082,331.540134640898,"2021-02-12",3571000,0.7,0.999,0.0377142857142857,25886,7.72053131525825e-05,0.00722274061633488,0.0525240138974044,4.91374638633962
43,268.5148039672,197.37775132881,322.718065036616,"2021-02-13",3571000,0.7,0.999,0.0371428571428571,26157,7.51931682910109e-05,0.00729807874754873,0.0517065195176783,5.01851776934359
44,273.538561256767,206.002982657507,314.968802472973,"2021-02-14",3571000,0.7,0.999,0.0365714285714286,26429,7.65999891505928e-05,0.00737368913043646,0.0508890251379522,4.89869327240396
45,274.243709225736,212.964176091944,308.292346949969,"2021-02-15",3571000,0.7,0.999,0.036,26700,7.67974542777194e-05,0.00744901580673551,0.050071530758226,4.85671859299742
46,270.630247874106,219.155809094654,302.688698467604,"2021-02-16",3571000,0.7,0.999,0.036,26729,7.57855636723904e-05,0.00745707625638559,0.050071530758226,4.92689115241189
47,262.698177201878,224.721408610397,299.102677328919,"2021-02-17",3571000,0.7,0.999,0.036,26757,7.3564317334606e-05,0.00746485869738445,0.050071530758226,5.08095385663376
48,259.176322903452,228.403451669682,297.047890785571,"2021-02-18",3571000,0.7,0.999,0.036,26786,7.25780797825405e-05,0.00747291901837521,0.050071530758226,5.15555792607674
49,260.064684978826,230.149809385002,296.524338837562,"2021-02-19",3571000,0.7,0.999,0.036,26814,7.28268510161932e-05,0.00748070133515233,0.050071530758226,5.14329758556903
50,265.363263428001,229.511471277098,297.532021484889,"2021-02-20",3571000,0.7,0.999,0.036,26843,7.43106310355646e-05,0.00748876152748601,0.050071530758226,5.04603107171941
51,264.481305469246,228.047491600309,300.070938727555,"2021-02-21",3571000,0.7,0.999,0.036,26871,7.40636531697693e-05,0.00749654372004349,0.050071530758226,5.06811915688432
52,263.870354850021,228.377655150448,302.103954176543,"2021-02-22",3571000,0.7,0.999,0.036,26900,7.38925664659818e-05,0.00750460378372209,0.050071530758226,5.08531530513199
53,263.530411570325,229.60748446498,303.631067831855,"2021-02-23",3571000,0.7,0.999,0.036,27000,7.37973709242019e-05,0.00753239660474936,0.050071530758226,5.11073258511131
54,267.952852662462,231.593452599147,303.707459390449,"2021-02-24",3571000,0.7,0.999,0.036,27100,7.50358030418544e-05,0.00756018864749508,0.050071530758226,5.04492792847021
55,270.622162268697,234.645455492392,303.217189357976,"2021-02-25",3571000,0.7,0.999,0.036,27200,7.57832994311669e-05,0.0075879799119809,0.050071530758226,5.01352900186999
56,271.538340389031,238.496933295141,302.160257734436,"2021-02-26",3571000,0.7,0.999,0.036,27300,7.60398600921397e-05,0.0076157703982288,0.050071530758226,5.01491298485331
57,270.701387023462,243.596896486652,300.43909691518,"2021-02-27",3571000,0.7,0.999,0.036,27400,7.58054850247723e-05,0.00764356010626055,0.050071530758226,5.04877390914265
58,274.726651250779,250.109906159536,297.646089406235,"2021-02-28",3571000,0.7,0.999,0.036,27500,7.69326942735309e-05,0.00767134903609779,0.050071530758226,4.99288622145936
59,278.612465734999,255.521161157904,296.223409316637,"2021-03-01",3571000,0.7,0.999,0.036,27600,7.80208529081487e-05,0.00769913718776238,0.050071530758226,4.94108395562775
60,282.358830476123,259.830661481753,296.394441486263,"2021-03-02",3571000,0.7,0.999,0.0367142857142857,27414,7.90699609286259e-05,0.00764745060328453,0.0510933987328837,4.94162686277729
61,281.474368441846,263.038407131085,298.151880977954,"2021-03-03",3571000,0.7,0.999,0.0374285714285714,27229,7.88222818375374e-05,0.00759603923311147,0.0521152667075414,5.02230589277394
62,281.706839599768,266.092025135947,300.025252993763,"2021-03-04",3571000,0.7,0.999,0.0381428571428571,27043,7.88873815737239e-05,0.00754434727850717,0.053137134682199,5.08173790826954
63,283.056243949889,269.31020423342,302.002354110099,"2021-03-05",3571000,0.7,0.999,0.0388571428571429,26857,7.92652601371854e-05,0.0074926526313922,0.0541590026568568,5.11945072870715
64,288.576325284125,272.300405097371,304.199057066998,"2021-03-06",3571000,0.7,0.999,0.0395714285714286,26671,8.08110684077639e-05,0.00744095529162647,0.0551808706315144,5.08096724139678
65,291.651734523688,274.89806663519,307.022979358431,"2021-03-07",3571000,0.7,0.999,0.0402857142857143,26486,8.16722863409936e-05,0.00738953322343394,0.0562027386061721,5.0851031945438
66,293.986066849742,277.103188846876,309.173385813759,"2021-03-08",3571000,0.7,0.999,0.041,26300,8.2325977835268e-05,0.00733783051242431,0.0572246065808298,5.10050989094241
67,296.603457784375,278.801632665462,310.426891593105,"2021-03-09",3571000,0.7,0.999,0.0401428571428571,26571,8.30589352518552e-05,0.00741315990989899,0.0559983650112405,4.99795516596086
68,299.019873951966,280.165726121807,313.356580862047,"2021-03-10",3571000,0.7,0.999,0.0392857142857143,26843,8.37356129801081e-05,0.00748876152748601,0.0547721234416514,4.89845785097427
69,299.130975537489,278.0209470592,318.3740734768,"2021-03-11",3571000,0.7,0.999,0.0384285714285714,27114,8.37667251575158e-05,0.00756407947137383,0.0535458818720621,4.83515745761171
70,300.409441115556,272.120479026326,325.491572860956,"2021-03-12",3571000,0.7,0.999,0.0375714285714286,27386,8.41247384809734e-05,0.00763966959398388,0.052319640302473,4.75133441606333
71,299.801526894253,262.856861349318,334.690773879126,"2021-03-13",3571000,0.7,0.999,0.0367142857142857,27657,8.39545020706393e-05,0.00771497608602623,0.0510933987328837,4.69521395107952
