"t","smoothMedian","smooth5","smooth95","date"
9,87.5119418724582,62.0540723445954,111.540155226211,2021-01-10
10,91.8511238094777,66.3932542816149,124.954658301815,2021-01-11
11,105.174098435375,78.341164272101,138.041433675231,2021-01-12
12,118.262987385585,91.5085761212518,150.800481346458,2021-01-13
13,131.117790660109,105.895489829067,164.777507551618,2021-01-14
14,138.238249717302,121.501905395548,181.967148512825,2021-01-15
15,152.739953601794,139.335260825069,202.321773709494,2021-01-16
16,170.893759961033,159.39555611763,225.841383141625,2021-01-17
17,198.046362546869,181.682791273233,253.652051477539,2021-01-18
18,228.774542695463,204.977464433211,285.003062271689,2021-01-19
19,263.078300406816,229.279575597565,319.894415524074,2021-01-20
20,300.957635680926,254.589124766295,356.780404998573,2021-01-21
21,347.912807059439,280.906111939401,393.666394473073,2021-01-22
22,371.904141438049,307.223099112506,430.028979117154,2021-01-23
23,403.669291703858,333.947548162615,465.868158930818,2021-01-24
24,433.272284399613,361.079459089727,501.183933914065,2021-01-25
25,463.007759378015,388.60100714914,535.976304066894,2021-01-26
26,492.875716639065,416.418056793403,570.245269389305,2021-01-27
27,519.363697849762,442.969071183858,603.990829881299,2021-01-28
28,541.279773173965,467.986010796365,637.212985542875,2021-01-29
29,587.257307493081,491.468875630923,670.435141204451,2021-01-30
30,610.463663353068,513.01020381053,699.757204922924,2021-01-31
31,633.181648236726,532.609995335185,725.179176698292,2021-02-01
32,650.414635437163,550.28607494959,750.824002262153,2021-02-02
33,670.691700079735,566.557989908461,777.431431499456,2021-02-03
34,697.503265716142,582.987277050455,805.001464410199,2021-02-04
35,737.341982637699,599.841975899713,833.534100994383,2021-02-05
36,761.488269177243,617.122086456236,853.343461236978,2021-02-06
37,789.766252254261,634.792807774321,868.329637081087,2021-02-07
38,811.092808376748,651.832789315414,878.492628526711,2021-02-08
39,828.16992439889,668.101974066645,886.478180942513,2021-02-09
40,832.468525195334,682.99913833944,892.694530785544,2021-02-10
41,824.010645547379,690.609791161811,897.141678055805,2021-02-11
42,796.169866817829,690.933932533757,899.585616183046,2021-02-12
43,777.196270273615,683.97156245528,909.985232847589,2021-02-13
44,767.089855914738,669.757481872078,928.340528049434,2021-02-14
45,759.240219455811,663.387365977449,954.552759043914,2021-02-15
46,768.480793999625,665.001271784262,981.984891723657,2021-02-16
47,798.566273052675,671.864476919797,1009.48893974666,2021-02-17
48,849.49665661496,686.539216311305,1037.06490311293,2021-02-18
49,875.062627526097,712.853938611513,1058.03351832174,2021-02-19
50,923.056432013038,746.96504770675,1072.1217777078,2021-02-20
51,950.731331688391,777.505825698399,1081.74724583765,2021-02-21
52,976.641185141111,797.541784011,1081.97930323008,2021-02-22
53,982.507177826833,807.072922644554,1072.68629289219,2021-02-23
54,962.750958475636,809.009775953088,1055.49310762413,2021-02-24
55,913.24444547717,806.704599981341,1035.8087994923,2021-02-25
56,896.829661327032,798.935772710148,1018.51979297839,2021-02-26
57,858.580529545018,789.546890253179,1002.93092810222,2021-02-27
58,840.234010458018,789.904670509051,987.179149261765,2021-02-28
59,826.77252097062,793.319985498173,974.714973449847,2021-03-01
60,820.835294947066,799.792835220545,968.269360338084,2021-03-02
61,825.035385167755,809.323219676168,970.834196235269,2021-03-03
62,840.562088799831,821.91113886504,977.023287139305,2021-03-04
63,859.45971963553,836.04667464758,984.809266481882,2021-03-05
64,883.873979080329,850.851086082192,999.974423297857,2021-03-06
65,914.04807935603,865.61252951163,1019.56617506228,2021-03-07
66,951.327247867605,879.668178107166,1050.91497559541,2021-03-08
67,987.062191935675,892.258801603604,1080.3049220788,2021-03-09
68,1012.89622531892,901.091123929265,1103.11923540349,2021-03-10
69,1037.65881043344,908.595163504506,1119.3350575052,2021-03-11
70,1051.98089272317,909.439414397283,1133.00660054151,2021-03-12
71,1055.56317774248,904.264381068567,1139.04673545775,2021-03-13
72,1051.94220613277,893.781907175603,1139.85353581435,2021-03-14
73,1038.02669208212,879.560099356606,1132.81770532129,2021-03-15
74,1019.43467728688,862.358187876773,1128.92418712542,2021-03-16
75,1002.4011402596,844.469448807782,1128.17298122674,2021-03-17
76,979.883789046383,823.463863729278,1130.56408762525,2021-03-18
77,959.589650917858,803.576030079322,1136.09750632095,2021-03-19
78,941.020096147121,785.044184338543,1144.77323731384,2021-03-20
79,921.405149931451,767.86832650694,1156.59128060392,2021-03-21
80,916.561581155844,763.158518758308,1168.43737811167,2021-03-22
81,950.934501582725,767.039335746995,1180.25542140174,2021-03-23
82,958.207463606451,770.699027539478,1204.41520160264,2021-03-24
83,972.210242258957,774.137594135757,1240.91671871435,2021-03-25
84,976.706394122644,777.35503553583,1289.75997273688,2021-03-26
85,970.038208957288,780.3513517397,1350.94496367023,2021-03-27
86,952.205686762888,783.126542747364,1424.4716915144,2021-03-28
87,1002.69838309962,792.209482832136,1510.31210205172,2021-03-29
88,1100.90858476543,811.475597339666,1608.52230371752,2021-03-30
89,1218.91129733242,849.736636203477,1685.76144192725,2021-03-31
90,1324.02835974968,906.992599423572,1742.02951668089,2021-04-01
91,1426.80692177481,983.243486999948,1777.32652797846,2021-04-02
92,1531.10827058638,1078.48929893261,1797.04218010606,2021-04-03
93,1645.85176342852,1192.18546268045,1804.07307071431,2021-04-04
94,1687.71461761984,1285.24449598075,1817.89396617796,2021-04-05
95,1656.27142376918,1357.66639883351,1838.504866497,2021-04-06
96,1647.56001959402,1409.45117123874,1886.87683512753,2021-04-07
97,1661.58040509437,1440.59881319644,1934.4328016538,2021-04-08
98,1677.21682444591,1451.10932470659,1981.1727660758,2021-04-09
99,1673.86145977469,1440.98270576921,2021.70702410743,2021-04-10
100,1655.69398875749,1410.76352892539,2064.00667857871,2021-04-11
101,1624.49892442131,1395.43688162818,2096.02903564747,2021-04-12
