"t","smoothMedian","smooth5","smooth95","date"
10,84.8213374412019,66.5008713124721,91.67382539485,2021-01-11
11,96.7862836293094,77.758366540726,107.008825134381,2021-01-12
12,107.111829289361,89.8876368913336,119.829158452202,2021-01-13
13,118.332622105983,102.888682364295,133.052157083016,2021-01-14
14,128.965876128191,116.76150295961,146.957122410727,2021-01-15
15,141.333690441156,129.384855485064,161.540398847401,2021-01-16
16,156.786799861164,140.672635047893,176.993508267409,2021-01-17
17,174.646396945519,151.321839541553,195.942494697178,2021-01-18
18,193.121627694003,165.535129634866,218.387358136708,2021-01-19
19,213.32329509449,183.312505327834,243.825695064107,2021-01-20
20,238.245040484445,203.38827941764,271.041302803851,2021-01-21
21,266.300831289215,224.198675203855,299.86001368684,2021-01-22
22,299.427393904593,247.569634767539,330.408658835718,2021-01-23
23,323.693721388716,272.569988123039,362.173809101528,2021-01-24
24,347.637659082504,296.954799616235,393.237566249005,2021-01-25
25,367.064602743787,313.837213697196,423.59993027815,2021-01-26
26,380.793782314627,323.195166778354,453.260901188963,2021-01-27
27,378.667531906249,326.294346062523,482.331626636217,2021-01-28
28,395.075192226044,333.488665446321,512.062130784147,2021-01-29
29,422.63198378186,345.073426040901,542.74487635115,2021-01-30
30,456.094966350073,359.082091173347,571.466840064215,2021-01-31
31,464.588775956534,362.470038886047,594.847172918444,2021-02-01
32,445.355608674704,350.750792799563,613.854936207039,2021-02-02
33,443.897077049565,352.781837591083,628.965917953503,2021-02-03
34,467.742200690121,368.563173260608,640.461353907761,2021-02-04
35,475.612311458515,389.304662611952,647.063727030837,2021-02-05
36,479.416955918442,404.742576156961,655.975474096959,2021-02-06
37,481.833009430505,416.138216519644,678.7378493209,2021-02-07
38,512.121802539977,442.017255614296,698.102216459643,2021-02-08
39,561.698282352412,484.821732368586,713.099514219986,2021-02-09
40,607.746549964798,510.748747460982,723.253954578425,2021-02-10
41,620.808888677021,519.798300891485,728.284301785037,2021-02-11
42,609.393623074028,511.970392660093,729.304410725651,2021-02-12
43,604.635483886903,506.780007485418,717.743009792219,2021-02-13
44,595.290375050663,505.86354940202,692.764002177682,2021-02-14
45,578.367678271315,503.33869475776,674.735608989267,2021-02-15
46,579.816624931271,505.845017136075,670.911622114449,2021-02-16
