"t","date","phi","variance","sampleSize","binning","daysPerBin","haplotypes","numMut"
7,"2021-01-08",34.2080298861511,0.0555555555555556,18,"cal_week",6,16,18
8,"2021-01-09",62.8262763686922,0.0454545454545455,22,"eq_days_5",5,21,22
12,"2021-01-13",126.555514308212,0.0181818181818182,55,"eq_days_7",7,51,55
13,"2021-01-14",95.9975624136225,0.0256410256410256,39,"eq_days_5",5,36,39
13,"2021-01-14",98.5784786770788,0.0222222222222222,45,"cal_week",6,41,45
13,"2021-01-14",106.622397400767,0.0294117647058824,34,"eq_days_3",3,32,34
17,"2021-01-18",164.049298694845,0.0078740157480315,127,"eq_days_3",3,103,127
18,"2021-01-19",183.862082914256,0.00505050505050505,198,"eq_days_7",7,158,198
18,"2021-01-19",205.459352314848,0.0050761421319797,197,"eq_days_5",5,158,197
19,"2021-01-20",234.727280248269,0.00383141762452107,261,"cal_week",7,207,261
20,"2021-01-21",170.541993869239,0.00970873786407767,103,"eq_days_3",3,87,103
24,"2021-01-25",338.388126940775,0.00689655172413793,145,"eq_days_3",3,129,145
24,"2021-01-25",382.491541715691,0.00458715596330275,218,"eq_days_5",5,190,218
25,"2021-01-26",426.546655922195,0.0033003300330033,303,"eq_days_7",7,259,303
26,"2021-01-27",352.099813165332,0.008,125,"eq_days_3",3,115,125
26,"2021-01-27",457.083332108934,0.00374531835205993,267,"cal_week",7,235,267
29,"2021-01-30",372.62102478834,0.0045662100456621,219,"eq_days_5",5,190,219
30,"2021-01-31",309.261038242371,0.00746268656716418,134,"eq_days_3",3,119,134
32,"2021-02-02",597.562518734604,0.00386100386100386,259,"eq_days_3",3,230,259
32,"2021-02-02",641.325874891215,0.0021978021978022,455,"eq_days_7",7,389,455
33,"2021-02-03",619.527823128848,0.00191938579654511,521,"cal_week",7,434,521
33,"2021-02-03",658.137078100394,0.0028169014084507,355,"eq_days_5",5,312,355
35,"2021-02-05",248.645703098463,0.00641025641025641,156,"eq_days_3",3,131,156
38,"2021-02-08",505.272730344337,0.0025706940874036,389,"eq_days_5",5,324,389
