"t","smoothMedian","smooth5","smooth95","date"
9,87.5119418724582,62.0540723445954,110.41408055789,2021-01-10
10,91.8511238094777,66.3932542816149,123.828583633494,2021-01-11
11,105.99413714556,78.341164272101,136.91535900691,2021-01-12
12,119.083026095771,91.5085761212518,149.674406678137,2021-01-13
13,131.937829370295,105.895489829067,163.651432883297,2021-01-14
14,139.058288427487,121.501905395548,180.841073844504,2021-01-15
15,153.55999231198,139.335260825069,201.571057263946,2021-01-16
16,171.713798671219,159.39555611763,225.841383141625,2021-01-17
17,198.866401257055,181.682791273233,253.652051477539,2021-01-18
18,228.774542695463,204.977464433211,285.003062271689,2021-01-19
19,263.078300406816,229.279575597565,319.894415524074,2021-01-20
20,300.957635680926,254.589124766295,356.780404998573,2021-01-21
21,347.912807059439,280.906111939401,393.666394473073,2021-01-22
22,371.904141438049,307.223099112506,430.028979117154,2021-01-23
23,403.669291703858,333.941606581048,465.868158930818,2021-01-24
24,433.272284399613,361.061634345025,501.183933914065,2021-01-25
25,463.007759378015,388.422759702118,535.976304066894,2021-01-26
26,492.875716639065,416.131931120541,570.245269389305,2021-01-27
27,520.114899013506,442.682945510996,603.990829881299,2021-01-28
28,544.928605555655,467.699885123503,637.212985542875,2021-01-29
29,591.898224664712,491.182749958061,670.435141204451,2021-01-30
30,615.104580524699,512.730019719235,699.757204922924,2021-01-31
31,637.822565408357,532.341694407025,725.179176698292,2021-02-01
32,655.055552608794,550.17819672375,749.803709181886,2021-02-02
33,675.332617251366,566.557989908461,775.730943032343,2021-02-03
34,701.392981724029,582.987277050455,802.960878249664,2021-02-04
35,738.334067427641,599.828638289463,831.493514833848,2021-02-05
36,761.488269177243,617.0607187929,851.302875076443,2021-02-06
37,789.766252254261,633.440036870902,866.289050920552,2021-02-07
38,811.092808376748,648.045498990876,876.452042366176,2021-02-08
39,828.16992439889,662.488794176267,885.457887862245,2021-02-09
40,832.468525195334,676.344510719812,892.354433092122,2021-02-10
41,824.010645547379,683.955163542183,897.141678055805,2021-02-11
42,796.169866817829,684.292642524381,899.819622753296,2021-02-12
43,766.024860215726,677.378302498988,910.414244893046,2021-02-13
44,733.575625741071,664.45562515587,928.925544475057,2021-02-14
45,721.97129577565,660.40536212295,955.132578482976,2021-02-15
46,731.211870319465,663.615824376782,982.561246505011,2021-02-16
47,761.297349372515,669.431488936064,1010.06356219916,2021-02-17
48,803.689120562604,683.094402068247,1037.63952556543,2021-02-18
49,829.25509147374,703.226316137824,1058.37413420399,2021-02-19
50,888.42030601857,728.562662168437,1072.26738811484,2021-02-20
51,938.438025809701,759.103440160086,1081.73685186453,2021-02-21
52,968.102572768915,779.254065032097,1081.97410624351,2021-02-22
53,971.376766408902,789.014536784471,1072.68456056333,2021-02-23
54,949.556506252529,793.040378398508,1053.86821482398,2021-02-24
55,908.588605626259,791.747028686087,1031.9318560374,2021-02-25
56,892.173821476121,790.161009645524,1013.7817089521,2021-02-26
57,853.747024992796,789.546890253179,997.353620450165,2021-02-27
58,834.627863449186,789.904670509051,979.372359478534,2021-02-28
59,821.166373961788,793.319985498173,964.746757790149,2021-03-01
60,817.820946983969,799.792835220545,956.9446684959,2021-03-02
61,822.913155196881,809.323219676168,957.282190072098,2021-03-03
62,838.439858828958,821.91113886504,961.229089989566,2021-03-04
63,857.337489664656,836.743385292105,968.794145899618,2021-03-05
64,881.929413810767,851.749309519304,982.041510920168,2021-03-06
65,912.876156543078,866.510752948742,1003.86274481577,2021-03-07
66,960.592933535804,880.566401544278,1037.37297122537,2021-03-08
67,997.690273626773,893.157025040715,1068.11939389124,2021-03-09
68,1024.69622982297,901.989347366377,1094.78591433706,2021-03-10
69,1049.45881493749,909.719711598213,1115.49597808009,2021-03-11
70,1063.84387624231,909.867251846465,1130.24958512032,2021-03-12
71,1067.79210837398,904.490705725162,1139.04673545775,2021-03-13
72,1064.17113676428,894.008231832198,1139.85353581435,2021-03-14
73,1039.81801423247,879.786424013202,1132.81770532129,2021-03-15
