"t","date","phi","variance","sampleSize","binning","daysPerBin","haplotypes","numMut"
6,"2021-01-07",68.2042051179419,0.032258064516129,31,"eq_days_10",10,29,31
7,"2021-01-08",34.2080298861511,0.0555555555555556,18,"cal_week",6,16,18
10,"2021-01-11",125.794949846628,0.0142857142857143,70,"eq_days_15",15,64,70
13,"2021-01-14",98.5784786770788,0.0222222222222222,45,"cal_week",6,41,45
16,"2021-01-17",185.249599448136,0.004149377593361,241,"eq_days_20",20,194,241
17,"2021-01-18",175.638163246978,0.00476190476190476,210,"eq_days_10",10,167,210
19,"2021-01-20",234.727280248269,0.00383141762452107,261,"cal_week",7,207,261
24,"2021-01-25",504.32436289657,0.00157728706624606,634,"eq_days_15",15,508,634
25,"2021-01-26",386.174060631824,0.00280112044817927,357,"eq_days_10",10,297,357
26,"2021-01-27",457.083332108934,0.00374531835205993,267,"cal_week",7,235,267
32,"2021-02-02",770.10160818918,0.000866551126516464,1154,"eq_days_20",20,904,1154
33,"2021-02-03",619.527823128848,0.00191938579654511,521,"cal_week",7,434,521
35,"2021-02-05",597.28950565613,0.00153139356814701,653,"eq_size_names_653",10,528,653
35,"2021-02-05",745.401191462808,0.00125470514429109,797,"eq_days_10",10,647,797
38,"2021-02-08",936.607908616894,0.000923361034164358,1083,"eq_days_15",15,881,1083
40,"2021-02-10",817.473704667976,0.002,500,"cal_week",7,437,500
44,"2021-02-14",764.296616760955,0.00153139356814701,653,"eq_size_names_653",10,550,653
45,"2021-02-15",741.722457510043,0.00138121546961326,724,"eq_days_10",10,597,724
47,"2021-02-17",590.329063345387,0.00191204588910134,523,"cal_week",7,432,523
51,"2021-02-21",1120.80930169695,0.000571102227298686,1751,"eq_days_20",20,1360,1751
52,"2021-02-22",920.684253887997,0.00153139356814701,653,"eq_size_names_653",6,555,653
53,"2021-02-23",1080.18226224153,0.000611995104039168,1634,"eq_size_names_1634",18,1272,1634
54,"2021-02-24",804.114509286931,0.00130548302872063,766,"cal_week",7,625,766
54,"2021-02-24",1076.79169447968,0.000700770847932726,1427,"eq_days_15",15,1132,1427
55,"2021-02-25",930.600951647773,0.000973709834469328,1027,"eq_days_10",10,829,1027
58,"2021-02-28",774.263710707683,0.00153139356814701,653,"eq_size_names_653",9,549,653
61,"2021-03-03",806.618971078036,0.00163398692810458,612,"cal_week",7,518,612
65,"2021-03-07",862.379145029788,0.00153139356814701,653,"eq_size_names_653",9,558,653
65,"2021-03-07",903.522127234654,0.00121359223300971,824,"eq_days_10",10,687,824
68,"2021-03-10",957.058088407224,0.00196850393700787,508,"cal_week",7,454,508
68,"2021-03-10",1089.43425200119,0.000910746812386157,1098,"eq_days_15",15,914,1098
69,"2021-03-11",1170.38796418508,0.0007097232079489,1409,"eq_days_20",20,1150,1409
75,"2021-03-17",836.571757833352,0.00217864923747277,459,"cal_week",7,408,459
75,"2021-03-17",1047.80724153186,0.00170940170940171,585,"eq_days_10",10,526,585
75,"2021-03-17",1109.31910744361,0.00153139356814701,653,"eq_size_names_653",12,586,653
82,"2021-03-24",716.340753012132,0.00278551532033426,359,"cal_week",7,324,359
84,"2021-03-26",1215.6814970543,0.00117233294255569,853,"eq_days_15",15,750,853
85,"2021-03-27",991.81054685335,0.00189753320683112,527,"eq_days_10",10,478,527
86,"2021-03-28",996.686724008892,0.00153139356814701,653,"eq_size_names_653",14,579,653
89,"2021-03-31",735.767090065783,0.00273972602739726,365,"cal_week",7,330,365
91,"2021-04-02",1903.15290871494,0.000774593338497289,1291,"eq_days_20",20,1152,1291
95,"2021-04-06",1561.85941314448,0.00130890052356021,764,"eq_days_10",10,704,764
96,"2021-04-07",1535.45224408837,0.00153139356814701,653,"eq_size_names_653",8,613,653
96,"2021-04-07",1542.49083583315,0.0015748031496063,635,"cal_week",7,596,635
99,"2021-04-10",2193.16944660188,0.000820344544708778,1219,"eq_days_15",15,1115,1219
103,"2021-04-14",1320.10599839394,0.00180831826401447,553,"cal_week",7,517,553
104,"2021-04-15",1394.13452837632,0.00153139356814701,653,"eq_size_names_653",9,604,653
105,"2021-04-16",1804.08690243738,0.00110132158590308,908,"eq_days_10",10,832,908
109,"2021-04-20",2494.84124395571,0.000580383052814858,1723,"eq_days_20",20,1533,1723
110,"2021-04-21",1793.45170334536,0.00133689839572193,748,"cal_week",7,700,748
111,"2021-04-22",1541.57835952287,0.00153139356814701,653,"eq_size_names_653",7,609,653
113,"2021-04-24",2046.85821748388,0.000825763831544178,1211,"eq_days_15",15,1095,1211
114,"2021-04-25",1485.12212022371,0.00122699386503067,815,"eq_days_10",10,735,815
117,"2021-04-28",800.99114595416,0.00223214285714286,448,"cal_week",7,397,448
117,"2021-04-28",2124.50042076473,0.000611995104039168,1634,"eq_size_names_1634",18,1425,1634
119,"2021-04-30",1108.85522959894,0.00153139356814701,653,"eq_size_names_653",8,577,653
124,"2021-05-05",1712.67358328296,0.00112739571589628,887,"cal_week",7,796,887
125,"2021-05-06",1468.6052591758,0.00153139356814701,653,"eq_size_names_653",8,607,653
125,"2021-05-06",1983.39470125448,0.000914913083257091,1093,"eq_days_10",10,985,1093
128,"2021-05-09",2521.03257404595,0.00060790273556231,1645,"eq_days_15",15,1463,1645
129,"2021-05-10",2647.03068956134,0.000498504486540379,2006,"eq_days_20",20,1759,2006
131,"2021-05-12",1510.15798677714,0.0015552099533437,643,"cal_week",7,599,643
132,"2021-05-13",1457.25450899362,0.00153139356814701,653,"eq_size_names_653",8,606,653
133,"2021-05-14",2099.18257058081,0.000611995104039168,1634,"eq_size_names_1634",20,1427,1634
135,"2021-05-16",1589.60527094722,0.00109529025191676,913,"eq_days_10",10,817,913
138,"2021-05-19",1094.0435794248,0.00175438596491228,570,"cal_week",7,511,570
139,"2021-05-20",882.874933535139,0.00153139356814701,653,"eq_size_names_653",10,562,653
143,"2021-05-24",957.615733613,0.00107642626480086,929,"eq_days_15",15,778,929
145,"2021-05-26",296.150363947301,0.00280898876404494,356,"cal_week",7,278,356
145,"2021-05-26",532.349598270548,0.00186915887850467,535,"eq_days_10",10,439,535
149,"2021-05-30",632.176094287011,0.00104166666666667,960,"eq_days_20",20,750,960
150,"2021-05-31",569.585502417852,0.00153139356814701,653,"eq_size_names_653",15,532,653
152,"2021-06-02",304.602276526764,0.00325732899022801,307,"cal_week",7,248,307
155,"2021-06-05",293.619635791892,0.00235294117647059,425,"eq_days_10",10,325,425
157,"2021-06-07",237.580944337723,0.00236406619385343,423,"eq_days_15",15,315,423
159,"2021-06-09",166.062965948306,0.00512820512820513,195,"cal_week",7,153,195
166,"2021-06-16",198.263576368588,0.0078125,128,"eq_days_10",9,112,128
167,"2021-06-17",211.649360575397,0.00909090909090909,110,"cal_week",6,98,110
171,"2021-06-21",229.759349279214,0.00425531914893617,235,"eq_days_20",20,197,235
173,"2021-06-23",108.567031317588,0.0208333333333333,48,"cal_week",6,44,48
173,"2021-06-23",192.636119649279,0.00529100529100529,189,"eq_days_15",15,158,189
176,"2021-06-26",154.62673871319,0.00934579439252336,107,"eq_days_10",10,93,107
179,"2021-06-29",105.520202127467,0.0126582278481013,79,"cal_week",7,67,79
186,"2021-07-06",142.547672127657,0.0101010101010101,99,"eq_days_10",10,86,99
187,"2021-07-07",131.822184297402,0.0125,80,"cal_week",7,70,80
191,"2021-07-11",327.287047376043,0.00465116279069767,215,"eq_days_15",15,191,215
192,"2021-07-12",402.238096825833,0.00343642611683849,291,"eq_days_20",20,257,291
194,"2021-07-14",327.147179579116,0.00709219858156028,141,"cal_week",7,131,141
195,"2021-07-15",393.448982634691,0.00520833333333333,192,"eq_days_10",10,177,192
201,"2021-07-21",326.558904154143,0.0045045045045045,222,"cal_week",7,191,222
204,"2021-07-24",703.636948570088,0.00198807157057654,503,"eq_days_15",15,441,503
205,"2021-07-25",687.197673892871,0.00231481481481481,432,"eq_days_10",10,381,432
208,"2021-07-28",561.363249789976,0.00373134328358209,268,"cal_week",7,244,268
209,"2021-07-29",937.365030886948,0.00153139356814701,653,"eq_size_names_653",16,576,653
211,"2021-07-31",1220.83170487701,0.0011037527593819,906,"eq_days_20",20,797,906
215,"2021-08-04",807.738295451013,0.00268817204301075,372,"cal_week",7,341,372
216,"2021-08-05",960.547629036867,0.00210970464135021,474,"eq_days_10",10,436,474
219,"2021-08-08",1220.84730719404,0.00109051254089422,917,"eq_days_15",15,798,917
221,"2021-08-10",895.392445096902,0.00153139356814701,653,"eq_size_names_653",11,565,653
222,"2021-08-11",785.239481195287,0.00184162062615101,543,"cal_week",7,466,543
226,"2021-08-15",1565.82450087235,0.00104166666666667,960,"eq_days_10",10,850,960
229,"2021-08-18",1640.09829563363,0.00153139356814701,653,"eq_size_names_653",6,612,653
229,"2021-08-18",2157.92747280232,0.00112359550561798,890,"cal_week",7,835,890
231,"2021-08-20",3565.54406474517,0.000412371134020619,2425,"eq_days_20",20,2163,2425
233,"2021-08-22",1759.97863003884,0.00153139356814701,653,"eq_size_names_653",5,615,653
233,"2021-08-22",3637.30253726728,0.000489476260401371,2043,"eq_days_15",15,1865,2043
234,"2021-08-23",3039.0477662379,0.00068259385665529,1465,"eq_days_10",10,1354,1465
236,"2021-08-25",1927.55395836589,0.00153139356814701,653,"eq_size_names_653",4,619,653
236,"2021-08-25",2507.2598646663,0.000920810313075506,1086,"cal_week",7,1008,1086
236,"2021-08-25",3172.09002207609,0.000611995104039168,1634,"eq_size_names_1634",14,1513,1634
243,"2021-09-01",1457.25450899362,0.00153139356814701,653,"eq_size_names_653",8,606,653
243,"2021-09-01",1811.38956589858,0.00119047619047619,840,"cal_week",7,769,840
243,"2021-09-01",3624.36510763734,0.000437062937062937,2288,"eq_size_names_2288",17,2055,2288
246,"2021-09-04",2565.41163345359,0.000683994528043776,1462,"eq_days_10",10,1310,1462
247,"2021-09-05",1377.68968579372,0.00153139356814701,653,"eq_size_names_653",6,591,653
248,"2021-09-06",2780.93973974648,0.000611995104039168,1634,"eq_size_names_1634",11,1462,1634
248,"2021-09-06",3439.11110188126,0.00046882325363338,2133,"eq_days_15",15,1913,2133
250,"2021-09-08",2554.34875051454,0.000858369098712446,1165,"cal_week",7,1070,1165
251,"2021-09-09",1965.49976272617,0.00153139356814701,653,"eq_size_names_653",4,622,653
251,"2021-09-09",4122.88128153422,0.000330250990752972,3028,"eq_days_20",20,2668,3028
255,"2021-09-13",2942.16409857478,0.000638569604086846,1566,"eq_days_10",10,1420,1566
256,"2021-09-14",1675.37006441541,0.00153139356814701,653,"eq_size_names_653",6,615,653
257,"2021-09-15",2121.20543537252,0.000956937799043062,1045,"cal_week",7,946,1045
259,"2021-09-17",1285.65331836064,0.00153139356814701,653,"eq_size_names_653",6,584,653
259,"2021-09-17",2637.51720024043,0.000611995104039168,1634,"eq_size_names_1634",12,1454,1634
259,"2021-09-17",3057.64961569792,0.000437062937062937,2288,"eq_size_names_2288",19,2007,2288
263,"2021-09-21",2891.12533492585,0.000470366886171214,2126,"eq_days_15",15,1856,2126
264,"2021-09-22",1361.30104038955,0.00153139356814701,653,"eq_size_names_653",7,594,653
264,"2021-09-22",1609.95561261667,0.00122549019607843,816,"cal_week",7,735,816
265,"2021-09-23",1969.59446465463,0.000905797101449275,1104,"eq_days_10",10,992,1104
270,"2021-09-28",1646.97045610305,0.00153139356814701,653,"eq_size_names_653",5,606,653
271,"2021-09-29",1707.48933480455,0.00129366106080207,773,"cal_week",7,711,773
271,"2021-09-29",3301.61743592335,0.000395413206801107,2529,"eq_days_20",20,2214,2529
272,"2021-09-30",2485.0207752462,0.000611995104039168,1634,"eq_size_names_1634",14,1448,1634
275,"2021-10-03",2560.35010928437,0.000701754385964912,1425,"eq_days_10",10,1282,1425
276,"2021-10-04",1442.37136892676,0.00153139356814701,653,"eq_size_names_653",6,596,653
278,"2021-10-06",2010.4895396941,0.00100502512562814,995,"cal_week",7,900,995
278,"2021-10-06",2749.16321132808,0.000575705238917674,1737,"eq_days_15",15,1553,1737
280,"2021-10-08",1643.25852007932,0.00153139356814701,653,"eq_size_names_653",7,618,653
284,"2021-10-12",1239.18723984956,0.00209643605870021,477,"cal_week",7,455,477
285,"2021-10-13",1549.92623905961,0.00142045454545455,704,"eq_days_10",10,659,704
286,"2021-10-14",2728.33980322653,0.000611995104039168,1634,"eq_size_names_1634",21,1493,1634
288,"2021-10-16",1449.29345536881,0.00153139356814701,653,"eq_size_names_653",9,609,653
290,"2021-10-18",2488.48699278749,0.000659195781147001,1517,"eq_days_20",20,1379,1517
291,"2021-10-19",1614.87882008538,0.00153609831029186,651,"cal_week",7,614,651
294,"2021-10-22",1649.2908395306,0.001230012300123,813,"eq_days_10",10,748,813
294,"2021-10-22",1884.87132240048,0.000928505106778087,1077,"eq_days_15",15,980,1077
296,"2021-10-24",1309.10253521159,0.00153139356814701,653,"eq_size_names_653",11,602,653
299,"2021-10-27",1017.06150815052,0.00234192037470726,427,"cal_week",7,399,427
