,n_count,seq_count
0,562,>IMS-10227-CVDP-62E265D0-F8B0-4918-92A9-FE6911A0217E|2021-11-24
1,412,>IMS-10116-CVDP-49CB47DC-3D93-408B-8841-321719ABD47D|2021-08-18
2,487,>IMS-10186-CVDP-834933B6-5672-40C1-AD63-006F17E844C4|2021-11-24
3,855,>IMS-10087-CVDP-D2A9620E-3B3A-471F-9F24-75B25A0ABA0E|2021-10-10
4,1172,>IMS-10186-CVDP-E53A281D-5164-4DB2-B907-6E96DA915ECA|2021-08-13
5,173,>IMS-10594-CVDP-5B5B2A20-526D-4080-990D-D7F1EED098EB|2021-12-27
6,167,>IMS-10186-CVDP-BE3B2B1D-FD13-4D03-A20A-81AB1358CCDA|2021-02-05
7,113,>IMS-10186-CVDP-CF62D322-E220-4CD6-83D6-61D10D4052AB|2021-10-11
8,101,>IMS-10186-CVDP-A089894D-C562-4ECC-800E-A4DD34B86947|2021-04-10
9,375,>IMS-10267-CVDP-4249FDD0-423B-4501-A1FD-CEA1320B0351|2021-09-01
10,174,>IMS-10186-CVDP-F6652C9A-BB0E-45B7-AD5A-4D4587B24C80|2021-09-08
11,727,>IMS-10225-CVDP-FDC64347-F147-4202-9BB5-6B409ABA1C0B|2021-05-17
12,290,>IMS-10087-CVDP-C92F4F2D-00FC-476E-8C00-7EE823178ED4|2021-10-11
13,109,>IMS-10013-CVDP-A06A228C-0BFE-4061-A1D5-011A9475F4EA|2021-09-15
14,293,>IMS-10594-CVDP-FC4C5C46-05A7-48DD-B595-F51E818F6FE0|2021-02-19
15,787,>IMS-10186-CVDP-56C1B567-5303-4DB0-8FD4-0FD59495559B|2021-11-05
16,33,>IMS-10261-CVDP-A90F43AA-658D-4DD2-9982-0F86DE59437F|2021-09-24
17,890,>IMS-10219-CVDP-098CB399-0BB2-4D9F-A794-98C75A6FF2C7|2021-03-20
18,15,>IMS-10227-CVDP-4C2D9E11-21C5-4524-9DAF-14975F2341ED|2021-05-26
19,78,>IMS-10087-CVDP-70416ABE-2018-49E4-A335-3579E6E2ACDC|2021-10-05
20,3,>IMS-10013-CVDP-16EC08A3-C153-4F72-AEC0-A988CC71A9F2|2021-04-10
21,27,>IMS-10186-CVDP-CAD0F9BF-BBB1-48AC-B713-9D11641596A4|2021-04-15
22,369,>IMS-10116-CVDP-42909838-830C-4B03-BE77-61F0948CFC29|2021-05-15
