,n_count,seq_count
0,256,>IMS-10116-CVDP-73DC5777-6E37-40D0-90EF-2274B6ED04B2|2021-04-13
1,257,>IMS-10116-CVDP-9BE52B02-01D3-4B5A-B131-8564E48DF957|2021-09-06
2,53,>IMS-10013-CVDP-177DBFAC-A652-4D2A-A157-CB405EC8C7FF|2021-11-27
3,555,>IMS-10116-CVDP-3346C172-7016-403B-91A3-70FFC4AD0247|2021-08-19
4,424,>IMS-10116-CVDP-9B73A834-D4C0-4990-9872-1276BDA17EF7|2021-07-20
5,86,>IMS-10036-CVDP-D6C6510E-523C-4176-A577-1A08E973C086|2021-03-22
6,579,>IMS-10116-CVDP-8FC62021-686B-4236-A6B6-C8A31E06D654|2021-09-25
7,424,>IMS-10116-CVDP-B63B63FB-8B2A-413F-AAB0-19A1BAA9F4F2|2021-06-04
8,14,>IMS-10318-CVDP-9656D90B-F9EC-4A9F-ACC0-BC143E80FB8D|2021-03-03
9,121,>IMS-10116-CVDP-D58BBBED-7138-44FB-AD5E-1F07FEF53CC1|2021-06-08
10,437,>IMS-10116-CVDP-2A0F1EB0-5A52-48DA-9445-B234DB3342C1|2021-02-17
11,259,>IMS-10116-CVDP-DBF64F8B-56E4-47F1-88E3-5F640895E535|2021-11-29
12,259,>IMS-10116-CVDP-BBDAFD1F-CD57-48B3-82CB-EA8A8AFC6917|2021-11-17
13,121,>IMS-10116-CVDP-67FCADBE-BABE-468A-AC4D-2EFF5217E5F5|2021-08-24
14,259,>IMS-10116-CVDP-1D821D34-0614-4E59-8CA5-3B428FF08438|2021-12-02
15,442,>IMS-10116-CVDP-3D931ADF-ED5D-4024-994F-3E834D2802F6|2021-07-20
16,121,>IMS-10116-CVDP-F2726440-0038-4EB9-A95A-3A8C657E36CC|2021-08-24
17,257,>IMS-10116-CVDP-3612276D-E707-48AF-BD6A-BE308D58BA97|2021-02-15
18,516,>IMS-10116-CVDP-FF025677-8407-443A-96CC-9E620CE7E320|2021-06-30
19,426,>IMS-10116-CVDP-F6E8DF13-5297-4382-BA3B-181EE876F291|2021-07-13
20,229,>IMS-10013-CVDP-6D82A442-B3F0-4A02-A295-43C885C9F42A|2021-08-23
21,35,>IMS-10013-CVDP-10A0BB42-5029-4CD8-8079-BF51226E1268|2021-12-29
22,263,>IMS-10116-CVDP-A6D2080C-7743-483B-AD5A-852A6D603C9C|2021-12-09
23,253,>IMS-10116-CVDP-6D35F483-D62D-4520-9A50-6D66644AE2BC|2021-04-24
24,259,>IMS-10116-CVDP-607E790A-A80D-45DC-B835-2132D2B458BB|2021-11-29
25,461,>IMS-10116-CVDP-AC986FA2-65D8-4E32-8BAD-26CCD697BAF5|2021-05-06
26,244,>IMS-10116-CVDP-59B919F6-82C8-47D7-9AE1-497B6BD90BAB|2021-05-12
27,274,>IMS-10116-CVDP-35501E03-0C68-4121-BA46-5488E36084CA|2021-08-16
28,34,>IMS-10013-CVDP-5F195C63-5E7F-4F51-88C9-52CD83806604|2021-05-18
29,445,>IMS-10116-CVDP-F150933B-F81D-46D6-9C35-D6F27588D7F9|2021-11-30
30,418,>IMS-10116-CVDP-9963EA00-0CE9-4821-AF8A-0A2802FC4070|2021-08-12
31,301,>IMS-10013-CVDP-666F6E0C-E4FA-4FD6-BD0E-3A2E3B40ECB4|2021-11-12
32,242,>IMS-10013-CVDP-57EF0003-E0B9-47C3-BE16-7C7E689571C2|2021-11-29
33,253,>IMS-10116-CVDP-8ECA192D-B5CE-41E3-A25F-DAA9C6923648|2021-04-07
34,127,>IMS-10013-CVDP-6737F360-6E65-47BD-B1A5-F26154F9B0D7|2021-09-08
35,257,>IMS-10116-CVDP-9A5C96F7-728A-4C4A-9FF4-D823496DD2F6|2021-08-17
36,33,>IMS-10013-CVDP-EFD446EA-F8DC-4549-BA70-3852F5F9CF66|2021-08-27
37,231,>IMS-10013-CVDP-6B8A4005-B634-45F7-A927-DCEB21EE3555|2021-08-27
38,255,>IMS-10116-CVDP-9F2A09E7-7AB2-4011-8FF1-591D653D7EC8|2021-03-11
39,726,>IMS-10013-CVDP-9EFDCC7D-1A35-44C0-9A30-CBE75E33A0D9|2021-03-24
40,384,>IMS-10116-CVDP-1AEED3F4-3198-49CD-A57C-5C2CC0FFDF60|2021-03-20
41,253,>IMS-10116-CVDP-0DB0F560-8081-426C-9720-88E743BC9112|2021-04-08
42,121,>IMS-10116-CVDP-1D8042C7-C011-4F40-89F4-AA4DF19757E5|2021-08-13
43,256,>IMS-10116-CVDP-3F2CDBCC-4A00-4C8F-9BDA-1AD460E33E64|2021-12-15
44,1121,>IMS-10116-CVDP-99865EBB-38A3-42CD-B337-BF45ADD4E536|2021-05-03
45,259,>IMS-10116-CVDP-938C2FC1-FCDB-41A6-8738-FEB793240559|2021-12-02
46,517,>IMS-10116-CVDP-D545B024-4C8F-4354-8D9B-5A63F79F224F|2021-12-03
47,253,>IMS-10116-CVDP-471C7BFC-1542-4E81-8AEB-8F1E2136AA8E|2021-04-15
48,253,>IMS-10116-CVDP-6C1B0E49-32CA-4073-89A1-6F6052A2E206|2021-04-23
49,124,>IMS-10116-CVDP-1E0C97F1-EA52-4B90-A048-BB4DCB754444|2021-02-05
50,35,>IMS-10013-CVDP-8BF235A8-EA44-4E99-AEB0-DB7D85AE0653|2021-03-04
51,895,>IMS-10224-CVDP-FDEB0AD3-6828-40DF-9A15-9F3CE6DA34F3|2021-08-13
52,127,>IMS-10116-CVDP-79391949-8214-4A20-B3C5-28E6944B08CA|2021-02-26
53,241,>IMS-10013-CVDP-5C062B89-F3E1-4C5D-AE1C-6BB3886EC319|2021-09-22
54,395,>IMS-10116-CVDP-CC03A03D-9F50-49CF-A19B-F5CCE2C6EB2D|2021-09-03
55,270,>IMS-10036-CVDP-1D0C5CC6-A3F5-42CA-ACDC-9900703D9B6B|2021-03-25
56,414,>IMS-10116-CVDP-C8B1B20F-D3B6-4E67-A951-144CB3DD51F8|2021-03-26
57,1463,>IMS-10116-CVDP-2A45BE75-CD1E-4287-AB4D-216E7D91BECB|2021-09-03
58,880,>IMS-10116-CVDP-FE8E3045-748E-4882-9EAD-5824C6768261|2021-12-10
59,259,>IMS-10116-CVDP-E1F4EBEB-1836-43E0-B1E4-81CDF962B9EB|2021-09-07
60,586,>IMS-10116-CVDP-2DDBB911-8C3A-476D-A9C8-59950458CDBB|2021-08-03
61,424,>IMS-10116-CVDP-FDF91624-AD76-4B7F-A266-B18CC6BFAB1A|2021-08-08
62,255,>IMS-10116-CVDP-FC8B76BC-C5F7-4B8E-BE92-F97390E3796B|2021-09-06
63,250,>IMS-10013-CVDP-A00F974D-EC46-4FA6-8A00-C4884FF5190B|2021-08-19
64,418,>IMS-10116-CVDP-CFF16364-F1D7-4D04-9859-7E2E31127694|2021-10-01
65,33,>IMS-10013-CVDP-F9A562FE-72FB-44B2-B659-F262DBDF0B67|2021-07-21
66,1425,>IMS-10116-CVDP-269FF264-7805-4F5B-99E9-97ACE3BC8D88|2021-09-11
67,13,>IMS-10013-CVDP-BCB55869-C72D-4AA6-98D6-59A27696A62B|2021-12-28
68,667,>IMS-10224-CVDP-FA47D4D1-25CB-4CC9-87FF-94794600209D|2021-05-31
69,259,>IMS-10116-CVDP-3DE7C301-64C2-43F0-B966-3164E19593C1|2021-08-25
70,121,>IMS-10116-CVDP-DA32816F-78E0-404C-BCB1-E358369C3A35|2021-08-14
