Accession,Number_of_N
IMS-10227-CVDP-62E265D0-F8B0-4918-92A9-FE6911A0217E,562
IMS-10116-CVDP-49CB47DC-3D93-408B-8841-321719ABD47D,412
IMS-10186-CVDP-834933B6-5672-40C1-AD63-006F17E844C4,487
IMS-10087-CVDP-D2A9620E-3B3A-471F-9F24-75B25A0ABA0E,855
IMS-10186-CVDP-E53A281D-5164-4DB2-B907-6E96DA915ECA,1172
IMS-10594-CVDP-5B5B2A20-526D-4080-990D-D7F1EED098EB,173
IMS-10186-CVDP-BE3B2B1D-FD13-4D03-A20A-81AB1358CCDA,167
IMS-10186-CVDP-CF62D322-E220-4CD6-83D6-61D10D4052AB,113
IMS-10186-CVDP-A089894D-C562-4ECC-800E-A4DD34B86947,101
IMS-10267-CVDP-4249FDD0-423B-4501-A1FD-CEA1320B0351,375
IMS-10186-CVDP-F6652C9A-BB0E-45B7-AD5A-4D4587B24C80,174
IMS-10225-CVDP-FDC64347-F147-4202-9BB5-6B409ABA1C0B,727
IMS-10087-CVDP-C92F4F2D-00FC-476E-8C00-7EE823178ED4,290
IMS-10013-CVDP-A06A228C-0BFE-4061-A1D5-011A9475F4EA,109
IMS-10594-CVDP-FC4C5C46-05A7-48DD-B595-F51E818F6FE0,293
IMS-10186-CVDP-56C1B567-5303-4DB0-8FD4-0FD59495559B,787
IMS-10261-CVDP-A90F43AA-658D-4DD2-9982-0F86DE59437F,33
IMS-10219-CVDP-098CB399-0BB2-4D9F-A794-98C75A6FF2C7,890
IMS-10227-CVDP-4C2D9E11-21C5-4524-9DAF-14975F2341ED,15
IMS-10087-CVDP-70416ABE-2018-49E4-A335-3579E6E2ACDC,78
IMS-10013-CVDP-16EC08A3-C153-4F72-AEC0-A988CC71A9F2,3
IMS-10186-CVDP-CAD0F9BF-BBB1-48AC-B713-9D11641596A4,27
IMS-10116-CVDP-42909838-830C-4B03-BE77-61F0948CFC29,369
IMS-10087-CVDP-0CF3402E-FF60-4BC6-9B6C-1B8C73CC8B28,780
IMS-10087-CVDP-0E42226B-16B7-4DBC-8CB6-032E6BF04F77,1450
IMS-10013-CVDP-99B91F04-606B-4519-83F8-1F2632524D96,253
IMS-10186-CVDP-E7EC33AD-8C15-46CE-8D05-32A3DF8C6101,1356
IMS-10087-CVDP-80D61E9B-3C63-43F2-B0D0-E2D635CBD4BD,155
IMS-10267-CVDP-975AC270-4435-493C-AED5-71065E83E0B2,222
IMS-10116-CVDP-D42CCD69-FB14-4F88-A6E2-302F354693D6,261
IMS-10186-CVDP-9633AFB8-90AD-459A-A295-A247DE9C8BC7,746
IMS-10116-CVDP-8E311A30-61F5-452E-BA24-7BA253AB94AC,257
IMS-10116-CVDP-1DB3CD80-348B-42B4-B9DC-D1F0598C5153,259
IMS-10061-CVDP-67C17A43-A330-4A13-843F-2D78DFC424AF,39
IMS-10020-CVDP-479B1BAF-1494-4673-B404-87FEB67C536E,247
IMS-10116-CVDP-78ED3EDF-BC2F-457C-994F-A3ABF8DC2BBC,408
IMS-10227-CVDP-1A6BA018-BA68-4A08-BC78-398B4FD1584C,2
IMS-10261-CVDP-C8474312-F655-4138-BD88-866C4D557B85,781
IMS-10013-CVDP-73E333C6-E6C8-48F0-A605-47730E27F731,4
IMS-10087-CVDP-7180E33F-2E88-449E-93FC-C054AFEB128B,80
IMS-10116-CVDP-6395D21E-7F4F-4A00-B429-3FB32303E493,44
IMS-10061-CVDP-4239F5D6-CCA0-409A-8009-1010A08DFA3F,0
IMS-10087-CVDP-51891CD6-A3AB-4C53-962C-45D126852F6E,176
IMS-10013-CVDP-379E0B68-BAB1-4CBD-8FBD-8E7BA33A69F0,19
IMS-10087-CVDP-DA6DDBF6-96A2-4DFB-805D-4A8BDF4FAE57,419
IMS-10225-CVDP-B980A84F-18AF-48F4-8EF3-40E4A6310F12,430
IMS-10186-CVDP-5423809A-8FD6-44C3-8E00-C53F0CBA723E,898
IMS-10087-CVDP-F39CEE06-392A-4F7A-8BC3-6FEB9D547160,713
IMS-10116-CVDP-FB82A951-AA76-49A8-AA45-239E2C571EFB,253
IMS-10116-CVDP-CEB0415B-E57C-471F-AB8B-D71627522B86,121
IMS-10186-CVDP-6D91AA73-9098-4C28-944A-0C5F988ECF73,625
IMS-10116-CVDP-6BF25721-C447-4F67-9F56-EDC4248B4AD1,261
IMS-10227-CVDP-FB66290A-D874-4BCB-B510-A6B76BFB7DC6,136
IMS-10227-CVDP-A00D4AB1-0721-495E-A34B-5EF2EB27A910,263
IMS-10227-CVDP-F75485DF-2593-448F-955F-305B42F43CCF,4
IMS-10087-CVDP-273873D0-4982-4AF0-8AFE-FB340345DB09,269
IMS-10116-CVDP-415B494C-D7CF-4969-B290-FAEACDA31A72,1051
IMS-10267-CVDP-281354A8-E1DD-4BFD-8F6D-510BC9C4158C,364
IMS-10087-CVDP-09BE4660-7669-43E4-8B76-A5DDFF3D27A2,44
IMS-10087-CVDP-8323E680-26C3-4A83-AE42-2AD9DE04C37E,779
IMS-10267-CVDP-00028,6
IMS-10116-CVDP-BA5E04ED-DB58-44EA-B233-9FA895721CEE,586
IMS-10186-CVDP-9C6B7D7B-F76D-4B5E-B33A-E36CDE08B5AA,646
IMS-10087-CVDP-B10E2037-4A16-4917-B1F6-F39C8870CF0F,716
IMS-10267-CVDP-F97071DB-92D0-40D7-B264-B8F0CDAFEA43,338
IMS-10116-CVDP-0EEFD5B4-33DC-4750-B582-45CA3F94D61D,121
IMS-10261-CVDP-00040,245
IMS-10225-CVDP-670E1566-F144-4B76-A474-71D00EE156E1,578
IMS-10227-CVDP-6AF228C6-F8A9-4002-AB21-5687913A2AA1,62
IMS-10061-CVDP-6F4CB671-F9BA-4239-8304-9B6D327549B9,693
IMS-10013-CVDP-839CB1C7-3DD4-4D31-BC29-134E4D7A282F,5
IMS-10116-CVDP-A6E111C2-A19B-45AB-990A-E35DE367202A,121
IMS-10227-CVDP-4E0F093A-7FD0-4AF6-B14A-8DB860D3EFD3,45
IMS-10186-CVDP-A5481A24-87FD-463C-906A-08F2A64D383A,773
IMS-10087-CVDP-3BF4AA08-92D4-4737-841B-CD2B6A625D0A,153
IMS-10186-CVDP-CE859FBB-E9CA-4287-8468-01A662C78728,45
IMS-10186-CVDP-A9ABA33B-8E4B-4567-8E74-DFABE3F1B850,267
IMS-10087-CVDP-AE089A87-1D66-4545-AD49-3909E17607A8,557
IMS-10087-CVDP-E73B8AC2-6EC1-4A3E-B7D1-DD30A8525B31,102
IMS-10013-CVDP-6D2899CB-E64D-4B47-BD01-9AB841D44D07,392
IMS-10013-CVDP-E475EBB4-3BC1-4230-B1E1-AA9F3C85ED5E,17
IMS-10186-CVDP-C82924FA-6E32-4C35-B6D8-4C38DB224CD4,522
IMS-10116-CVDP-0AE80F11-E254-4FC6-9525-467027F20A7E,121
IMS-10186-CVDP-020266DF-BDBB-4D5B-9859-0158E7696180,17
IMS-10116-CVDP-F2A7DC8B-0B40-4BCC-8CE7-13C2A452BB15,256
IMS-10013-CVDP-93DC5A39-7B91-4AA3-BD28-C580B1D98AF6,36
IMS-10186-CVDP-D984DC9B-CB0C-4A48-AEB2-92D0E2874DA1,1067
IMS-10261-CVDP-1B54BD00-EAD0-4E89-A3BB-342332520F48,240
IMS-10227-CVDP-D5154D3C-B1CE-40D6-A0DE-854EEB049929,541
IMS-10267-CVDP-82EC5630-B145-4E10-960E-76227ACDC027,461
IMS-10116-CVDP-B3FCE0A5-6DE5-44DF-B16A-55E443CC3308,424
IMS-10087-CVDP-7086BD03-E01C-45C7-801B-E7888FEC7C04,98
IMS-10116-CVDP-8DEBD0E2-8818-4C74-B1DD-E653DB67C90B,309
IMS-10087-CVDP-DA14D9C0-E947-4FF2-9DBF-1DFCAE52B8FC,547
IMS-10261-CVDP-0F4DE523-830D-48B9-B7DC-329D7A307FBE,1013
IMS-10087-CVDP-99B0A0DF-0CEA-4FE0-86ED-D12C0F1208FA,756
IMS-10225-CVDP-5A6259C3-AF7F-466D-9A69-8AC3414B5A0E,221
IMS-10116-CVDP-020DC7EA-BF53-4C24-98E9-69A1B30C82FA,253
IMS-10116-CVDP-BD45F8BC-E102-4383-81AA-D996F3F8852D,424
IMS-10116-CVDP-38F22F4F-427D-4A36-813E-D53F18941076,256
IMS-10261-CVDP-3FFBBBE2-C6B7-45E0-95B9-01E77B979E89,82
IMS-10087-CVDP-AF0B7139-F406-4345-9CA2-69068C83105A,219
IMS-10087-CVDP-D91BC996-99B3-401D-B9DA-011A297D4170,168
