Accession,Number_of_N
IMS-10116-CVDP-73DC5777-6E37-40D0-90EF-2274B6ED04B2,256
IMS-10116-CVDP-9BE52B02-01D3-4B5A-B131-8564E48DF957,257
IMS-10013-CVDP-177DBFAC-A652-4D2A-A157-CB405EC8C7FF,53
IMS-10116-CVDP-3346C172-7016-403B-91A3-70FFC4AD0247,555
IMS-10116-CVDP-9B73A834-D4C0-4990-9872-1276BDA17EF7,424
IMS-10036-CVDP-D6C6510E-523C-4176-A577-1A08E973C086,86
IMS-10116-CVDP-8FC62021-686B-4236-A6B6-C8A31E06D654,579
IMS-10116-CVDP-B63B63FB-8B2A-413F-AAB0-19A1BAA9F4F2,424
IMS-10318-CVDP-9656D90B-F9EC-4A9F-ACC0-BC143E80FB8D,14
IMS-10116-CVDP-D58BBBED-7138-44FB-AD5E-1F07FEF53CC1,121
IMS-10116-CVDP-2A0F1EB0-5A52-48DA-9445-B234DB3342C1,437
IMS-10116-CVDP-DBF64F8B-56E4-47F1-88E3-5F640895E535,259
IMS-10116-CVDP-BBDAFD1F-CD57-48B3-82CB-EA8A8AFC6917,259
IMS-10116-CVDP-67FCADBE-BABE-468A-AC4D-2EFF5217E5F5,121
IMS-10116-CVDP-1D821D34-0614-4E59-8CA5-3B428FF08438,259
IMS-10116-CVDP-3D931ADF-ED5D-4024-994F-3E834D2802F6,442
IMS-10116-CVDP-F2726440-0038-4EB9-A95A-3A8C657E36CC,121
IMS-10116-CVDP-3612276D-E707-48AF-BD6A-BE308D58BA97,257
IMS-10116-CVDP-FF025677-8407-443A-96CC-9E620CE7E320,516
IMS-10116-CVDP-F6E8DF13-5297-4382-BA3B-181EE876F291,426
IMS-10013-CVDP-6D82A442-B3F0-4A02-A295-43C885C9F42A,229
IMS-10013-CVDP-10A0BB42-5029-4CD8-8079-BF51226E1268,35
IMS-10116-CVDP-A6D2080C-7743-483B-AD5A-852A6D603C9C,263
IMS-10116-CVDP-6D35F483-D62D-4520-9A50-6D66644AE2BC,253
IMS-10116-CVDP-607E790A-A80D-45DC-B835-2132D2B458BB,259
IMS-10116-CVDP-AC986FA2-65D8-4E32-8BAD-26CCD697BAF5,461
IMS-10116-CVDP-59B919F6-82C8-47D7-9AE1-497B6BD90BAB,244
IMS-10116-CVDP-35501E03-0C68-4121-BA46-5488E36084CA,274
IMS-10013-CVDP-5F195C63-5E7F-4F51-88C9-52CD83806604,34
IMS-10116-CVDP-F150933B-F81D-46D6-9C35-D6F27588D7F9,445
IMS-10116-CVDP-9963EA00-0CE9-4821-AF8A-0A2802FC4070,418
IMS-10013-CVDP-666F6E0C-E4FA-4FD6-BD0E-3A2E3B40ECB4,301
IMS-10013-CVDP-57EF0003-E0B9-47C3-BE16-7C7E689571C2,242
IMS-10116-CVDP-8ECA192D-B5CE-41E3-A25F-DAA9C6923648,253
IMS-10013-CVDP-6737F360-6E65-47BD-B1A5-F26154F9B0D7,127
IMS-10116-CVDP-9A5C96F7-728A-4C4A-9FF4-D823496DD2F6,257
IMS-10013-CVDP-EFD446EA-F8DC-4549-BA70-3852F5F9CF66,33
IMS-10013-CVDP-6B8A4005-B634-45F7-A927-DCEB21EE3555,231
IMS-10116-CVDP-9F2A09E7-7AB2-4011-8FF1-591D653D7EC8,255
IMS-10013-CVDP-9EFDCC7D-1A35-44C0-9A30-CBE75E33A0D9,726
IMS-10116-CVDP-1AEED3F4-3198-49CD-A57C-5C2CC0FFDF60,384
IMS-10116-CVDP-0DB0F560-8081-426C-9720-88E743BC9112,253
IMS-10116-CVDP-1D8042C7-C011-4F40-89F4-AA4DF19757E5,121
IMS-10116-CVDP-3F2CDBCC-4A00-4C8F-9BDA-1AD460E33E64,256
IMS-10116-CVDP-99865EBB-38A3-42CD-B337-BF45ADD4E536,1121
IMS-10116-CVDP-938C2FC1-FCDB-41A6-8738-FEB793240559,259
IMS-10116-CVDP-D545B024-4C8F-4354-8D9B-5A63F79F224F,517
IMS-10116-CVDP-471C7BFC-1542-4E81-8AEB-8F1E2136AA8E,253
IMS-10116-CVDP-6C1B0E49-32CA-4073-89A1-6F6052A2E206,253
IMS-10116-CVDP-1E0C97F1-EA52-4B90-A048-BB4DCB754444,124
IMS-10013-CVDP-8BF235A8-EA44-4E99-AEB0-DB7D85AE0653,35
IMS-10224-CVDP-FDEB0AD3-6828-40DF-9A15-9F3CE6DA34F3,895
IMS-10116-CVDP-79391949-8214-4A20-B3C5-28E6944B08CA,127
IMS-10013-CVDP-5C062B89-F3E1-4C5D-AE1C-6BB3886EC319,241
IMS-10116-CVDP-CC03A03D-9F50-49CF-A19B-F5CCE2C6EB2D,395
IMS-10036-CVDP-1D0C5CC6-A3F5-42CA-ACDC-9900703D9B6B,270
IMS-10116-CVDP-C8B1B20F-D3B6-4E67-A951-144CB3DD51F8,414
IMS-10116-CVDP-2A45BE75-CD1E-4287-AB4D-216E7D91BECB,1463
IMS-10116-CVDP-FE8E3045-748E-4882-9EAD-5824C6768261,880
IMS-10116-CVDP-E1F4EBEB-1836-43E0-B1E4-81CDF962B9EB,259
IMS-10116-CVDP-2DDBB911-8C3A-476D-A9C8-59950458CDBB,586
IMS-10116-CVDP-FDF91624-AD76-4B7F-A266-B18CC6BFAB1A,424
IMS-10116-CVDP-FC8B76BC-C5F7-4B8E-BE92-F97390E3796B,255
IMS-10013-CVDP-A00F974D-EC46-4FA6-8A00-C4884FF5190B,250
IMS-10116-CVDP-CFF16364-F1D7-4D04-9859-7E2E31127694,418
IMS-10013-CVDP-F9A562FE-72FB-44B2-B659-F262DBDF0B67,33
IMS-10116-CVDP-269FF264-7805-4F5B-99E9-97ACE3BC8D88,1425
IMS-10013-CVDP-BCB55869-C72D-4AA6-98D6-59A27696A62B,13
IMS-10224-CVDP-FA47D4D1-25CB-4CC9-87FF-94794600209D,667
IMS-10116-CVDP-3DE7C301-64C2-43F0-B966-3164E19593C1,259
IMS-10116-CVDP-DA32816F-78E0-404C-BCB1-E358369C3A35,121
IMS-10116-CVDP-77F34CCE-77E7-45BC-A702-EA1B4F19A27F,424
IMS-10116-CVDP-3ADBE18C-EC3C-4A6F-BFFB-ECB823EFB403,402
IMS-10013-CVDP-27451BA2-EFEE-4551-9534-242FD8F5C241,995
IMS-10116-CVDP-DC8AD87F-F4A7-4B4D-A5F0-FA26ED0C11F4,255
IMS-10116-CVDP-31B5EB89-EAFB-4D6B-84E0-214E6AB4C4D8,458
IMS-10116-CVDP-5D9B5E17-A248-46E1-A672-2AE044F5B39F,438
IMS-10116-CVDP-4A1733EF-AFD3-4F00-B1DF-67D8798561EF,522
IMS-10116-CVDP-46820A6A-ED78-4355-A657-0153E0F2DA89,259
IMS-10013-CVDP-21155874-C541-4E97-8D27-38FC9CD75A4E,195
IMS-10116-CVDP-4ED6426C-4D13-4D08-BE44-D3236A44A826,443
IMS-10036-CVDP-F5165646-2390-466F-9D60-BF6D5E9F1FA0,28
IMS-10116-CVDP-17E56AEA-5A01-4601-BA58-3D4C943E418E,458
IMS-10013-CVDP-A862DCE9-8D5A-40AA-A80F-2AEFEA3A3DC8,34
